,feature/ exemplar ENGLISH,,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
feature / exemplar DUTCH,,freq,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ademen onder water,breaths under water,2,4,1,3,3,2,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,2,3,3
bedreigde diersoort,endangered species,3,0,3,0,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,4,1,0
er zijn verschillende soorten,there are many kinds of it,4,0,3,2,2,4,0,3,0,1,0,1,1,0,0,0,2,0,0,1,0,3,0,0
graten,has bones,9,4,2,4,4,2,4,1,4,4,3,3,4,4,3,3,4,4,4,4,4,2,4,4
heeft een staart,has a tail,2,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft kieuwen,has gills,15,4,0,4,4,3,4,1,4,4,3,4,4,4,4,2,4,4,4,4,4,0,4,3
heeft ogen,has eyes,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft schubben,has scales,14,4,0,4,4,0,4,0,4,4,0,2,4,4,4,0,3,4,4,4,4,0,4,2
heeft vinnen,has fins,13,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
in aquarium,swims in aquariums,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
is een dier,is an animal,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is gezond,is healthy,5,2,0,3,1,0,3,2,3,1,0,3,0,3,3,0,1,3,2,1,3,1,3,1
is glad,is smooth,3,4,3,4,4,2,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3
is glibberig,is slippery,5,3,1,3,3,1,3,4,3,3,1,4,3,3,3,2,3,3,3,3,3,2,3,2
is lekker,is tasty,9,4,0,4,0,0,4,3,3,1,0,2,0,2,1,0,2,4,0,1,3,0,4,0
kan verschillende kleuren hebben,can have different colors,5,0,1,1,3,2,0,1,1,1,1,1,1,0,0,0,0,0,0,2,0,2,2,0
kan zwemmen,can swim,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
leeft in de zee,lives in the sea,4,4,4,1,1,4,4,4,4,2,4,3,2,4,4,4,4,4,2,3,4,4,2,4
leeft in water,lives in water,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
leeft niet op het land,doesn't live on land,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
legt eieren,lays eggs,4,4,0,4,4,2,4,4,4,4,0,4,4,4,3,1,4,4,4,4,4,0,4,3
ruikt niet lekker,does not smell well,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ademt door kieuwen,breathes through gills,4,4,0,4,4,4,4,4,4,4,1,4,4,4,4,2,4,4,4,4,4,0,4,4
bevat omega 3,contains omega 3,2,4,0,4,3,3,4,3,4,4,1,3,3,4,4,2,4,4,4,3,4,0,4,4
is een haai,is a shark,3,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
is een sterrebeeld,is a constellation,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een zoet- of zoutwatervis,is a sweet- or salt-water fish,6,4,1,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,1,4,4
is er in verschillende groottes,comes in different sizes,2,2,4,3,4,4,2,4,2,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3
stinkt soms,sometimes smells,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4
wordt soms als huisdier gehouden,is sometimes kept as a pet,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wordt soms door mensen gegeten,is sometimes eaten by man,7,4,1,4,0,2,4,4,4,2,0,4,2,4,3,1,4,4,4,3,4,2,4,2
zwemt in scholen,swims in schools,4,3,2,3,2,1,3,0,2,2,1,2,1,2,2,1,2,3,2,2,2,2,3,3
