,feature/ exemplar ENGLISH,,bee ,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm,
feature / exemplar DUTCH,,freq,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm,
brengt ziektes voort,carries over diseases,2,0,1,1,0,1,0,2,1,0,0,0,1,0,2,0,2,1,1,1,1,1,4,0,0,0,0,
geleedpotig,is athrodopal,2,2,2,2,4,2,2,2,3,3,2,2,2,2,3,2,0,1,2,2,2,2,2,2,1,1,0,
heeft facetogen,compound eyes,2,3,0,3,1,2,3,1,2,1,2,2,0,1,2,0,1,0,0,1,2,1,3,0,1,4,0,
heeft poten,has legs,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,0,
heeft vleugels,has wings,5,4,0,4,1,3,4,1,3,2,3,4,1,3,1,3,3,0,0,0,1,2,3,4,2,4,0,
heeft voelsprieten,has feelers,3,3,1,2,3,1,3,4,3,3,3,4,3,3,3,3,3,4,2,3,0,4,0,3,1,4,1,
is een dier,is an animal,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
is irritant,is irritating,8,3,3,4,2,3,3,3,3,1,3,0,4,2,2,2,3,2,2,1,3,1,4,1,3,4,2,
is klein,is small,20,3,3,3,3,4,3,3,3,3,2,4,4,3,4,3,4,3,4,3,3,3,4,3,4,3,3,
kan vliegen,can fly,11,4,0,4,1,3,4,1,3,1,3,4,0,3,1,3,3,0,0,0,1,2,3,4,2,4,0,
komt overal ter wereld voor,is found all around the world,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,1,1,2,1,1,2,2,
leeft niet lang,doesn't live long,4,2,2,2,2,4,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,3,3,2,2,2,
legt eieren,lays eggs,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,2,
maakt heel vervelend geluid,makes an extremely irritating sound,3,2,0,1,1,2,2,1,0,1,2,0,0,0,0,0,3,0,0,0,1,1,3,0,0,2,0,
ongedierte,is vermin,3,0,3,2,1,2,1,3,1,0,1,0,3,0,1,3,2,2,4,0,0,1,2,0,2,0,0
steekt,stings,7,4,0,2,1,0,2,0,1,0,2,0,1,0,2,0,2,0,1,0,1,0,1,1,0,4,0
wordt doodgeslagen door mensen,is killed by man,3,3,1,3,1,3,2,1,1,0,1,0,2,1,3,3,3,1,2,0,4,0,3,1,1,4,0
wordt opgegeten door andere dieren,is eaten by other animals,2,3,4,4,4,3,3,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
wordt verdelgd,is exterminated,2,1,2,2,1,2,1,4,2,0,2,1,3,2,4,4,4,1,3,2,2,2,2,1,3,4,0
zes poten,has six paws,14,4,1,4,2,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,1,4,4,4,3,3,1
zoemt,buzzes,2,4,0,3,1,2,3,0,0,0,2,0,0,1,1,1,3,0,0,0,1,0,3,1,0,3,0
angstaanjagend,is terrifying,3,1,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,1,3,0
behoort tot de natuur,belongs to nature,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bijt vaak,often bites,2,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,2,1,0
er zijn verschillende soorten,there are many kinds of it,2,3,2,1,2,1,1,1,3,2,2,2,2,1,4,2,4,1,1,3,4,1,3,4,2,2,3
heeft een exoskelet,has an exoskeleton,3,2,2,2,2,2,2,3,3,3,2,3,1,3,3,2,2,2,3,1,2,2,2,2,1,2,0
is een delicatesse,is a delicacy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een mier,is an ant,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
is een mug,is a mosquito,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
is nuttig,is useful,5,4,1,1,2,2,3,1,2,2,2,2,1,2,3,2,1,2,2,2,3,1,2,2,1,2,2
kan bijten,can bite,2,1,4,3,0,0,2,0,0,0,1,0,2,0,2,0,3,0,0,0,4,0,0,0,3,2,0
komt in grote aantallen voor,there are lots of these,5,4,3,3,3,4,3,3,2,2,1,3,4,1,4,2,4,2,3,3,4,2,4,1,3,4,3
leeft in kolonies,lives in colonies,2,3,0,0,0,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,3,0
leeft op het land,lives on land  ,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
vind je vaker in de zomer,is more often encountered during summer,6,4,2,3,1,4,4,1,1,4,3,3,1,4,3,2,4,1,1,2,1,2,4,4,1,4,1
vliegt of kruipt,flies or crawls,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
wordt gegeten door spinnen,is eaten by spiders,2,1,0,1,1,3,1,1,0,1,1,1,0,1,1,0,3,1,1,1,0,0,4,1,0,1,0
