,feature/ exemplar ENGLISH,,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,recorder,guitar,harp ,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin,
feature / exemplar DUTCH,,freq,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool,
bestaat al lang,has been existing for a long time,4,4,4,1,3,2,3,4,2,4,3,4,3,4,3,4,3,4,4,3,1,1,3,2,3,3,4,4,
bestaat in verschillende groottes,exists in different sizes,6,2,1,2,1,3,1,3,4,1,1,3,4,4,3,4,2,4,4,4,3,4,4,4,2,4,2,3,
bestaat in verschillende kleuren,exists in different colors,3,4,4,4,2,1,2,4,4,1,2,4,3,3,2,4,3,4,1,4,1,2,3,1,2,4,1,2,
bestaat in verschillende soorten,exists in different kinds,7,2,2,2,1,1,1,2,3,1,3,4,4,2,2,1,4,4,2,3,3,4,1,1,2,4,2,3,
gemaakt uit hout,made of wood,4,1,4,2,4,0,4,2,0,0,3,3,4,4,2,4,1,3,4,4,0,0,1,0,0,2,0,4,
gemaakt uit metaal,made of metal,2,0,0,1,0,4,0,0,2,4,1,1,0,0,2,0,3,1,0,0,3,0,0,4,3,1,3,0,
heeft snaren,has snares,10,0,4,4,4,0,4,0,1,0,0,0,4,4,0,3,0,0,0,3,0,0,0,0,0,0,0,4,
heeft toetsen,has buttons,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,4,0,4,0,0,1,0,1,0,
is duur,is expensive,8,3,0,3,4,0,4,2,4,2,2,0,2,4,2,4,0,4,0,4,3,3,0,0,2,0,1,3,
is een soort piano,is a sort of piano,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,3,0,0,0,0,0,0,
is een soort viool,is a sort of violin,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
is te koop in een muziekwinkel,for sale in a music shop,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,
je moet er noten voor kunnen lezen,you have to be able to read notes for it,5,3,3,3,3,1,3,3,0,3,3,3,2,3,3,3,2,3,1,3,3,3,0,0,3,0,3,3,
je moet erop blazen,you have to blow on it,3,0,0,0,0,0,0,4,0,4,4,4,0,0,4,0,4,0,4,0,4,0,0,0,4,0,4,0,
kan je op spelen,can be played on,10,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,4,4
komt voor in een fanfare,featured in a brass band,2,0,0,0,0,4,0,1,1,2,2,1,0,0,3,0,1,0,0,0,4,0,2,2,4,3,4,0
maakt een apart geluid,makes a special noise,2,3,3,0,0,0,0,4,0,0,0,0,0,0,0,2,1,4,2,0,1,1,0,1,0,0,0,0
maakt geluid,produces sound,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
maakt verschillende geluiden,produces different sounds,4,1,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,1,0,1,2
moet je leren bespelen,one has to learn how to play,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,4,3,4,4
wordt bespeeld door muzikant,played by a musician,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3
wordt gecombineerd met andere instrumenten,is used in combination with other instruments,2,3,3,4,3,4,4,2,4,2,2,2,3,3,2,2,3,1,2,2,2,3,4,4,2,3,2,2
wordt soms gebruikt om zang te begeleiden,sometimes used to accompany voice,3,4,3,3,3,2,2,2,2,2,2,3,4,3,2,4,3,4,2,4,3,4,2,2,2,3,2,3
bestaat in verschillende vormen,exists in different forms,4,2,2,3,1,1,1,3,4,1,1,4,4,1,1,2,3,3,1,4,3,2,1,1,1,4,2,1
is bedoeld om muziek mee te maken,is meant to make music with,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is breekbaar,is fragile,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
is een blokfluit,is a recorder,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een gitaar,is a guitar,3,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een harp,is a harp,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is er in alle prijsklassen,is available for each price range,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
is er in verschillende materialen,comes in different materials,6,1,1,3,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
is moeilijk te bespelen,is hard to play,3,4,2,2,3,0,3,4,3,4,3,2,2,3,3,2,3,3,3,3,4,2,0,0,4,0,3,4
kan je zelf maken,can be manufactured by yourself,5,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
klinkt mooi,sounds beautiful,3,3,3,4,3,1,4,1,4,3,2,2,4,4,3,4,3,2,4,4,4,2,1,2,3,2,3,2
werd al gebruikt in de oertijd,was used in early ages,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0
