,feature/ exemplar ENGLISH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
feature / exemplar DUTCH,,freq,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
bepaalt je sociale status,determines your social status,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bron van stress / frustraties,source of stress / frustrations,4,1,2,1,1,1,1,3,2,1,3,2,1,1,2,3,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1
er zijn verschillende soorten van,there are different kinds,14,3,4,0,1,4,1,1,1,2,3,4,1,1,3,4,0,1,4,0,3,4,0,4,3,0,0,0,2,0,2
heb je een speciale outfit voor nodig,involves wearing a particular outfit,2,1,3,1,0,0,1,0,4,1,0,3,0,0,4,0,2,0,0,0,3,4,4,0,4,0,2,3,0,3,0
heeft sterke invloed op de rest van je leven,has strong influence upon the rest of your life,5,4,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,3
is bij wet geregeld,is regulated by law,2,0,3,2,0,1,0,2,0,1,0,1,0,2,0,0,0,0,2,1,1,3,0,0,3,0,0,0,1,0,0
is een activiteit,is an activity,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
is een job,is a job,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is iets dat je elke dag uitoefent,is something you do every day,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
is iets voor volwassenen,is something adults do,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is verschillend voor mannen en vrouwen,is different for men and women,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
is voordelig voor staat/economie,is advantageous for society / economy,5,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moet je graag doen om het vol te houden,you have to enjoy it in order to keep it up,3,4,4,3,4,3,4,3,4,3,4,4,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3
neemt veel tijd in beslag,takes up a lot of time,7,2,4,2,3,4,4,2,3,4,4,4,2,3,4,2,3,2,4,3,3,3,2,2,4,2,3,2,4,2,2
oefen je je hele leven uit,is somthing you do throughout your life,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oefen je niet thuis uit,you do not practise it at your home,2,4,3,1,4,2,2,3,4,1,4,2,3,1,3,4,4,4,4,4,4,4,4,1,4,4,1,4,1,4,4
oefen je uit,is something you do,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
verdien je geld mee,earns you money,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
vereist opleiding,requires a certain education,20,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,0,3,4,4,4,2,4,4,4,4,3,4,0,0
vereist specifieke kennis,requires specific knowledge,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,0,4,3,4,4,2,4,4,3,4,2,4,0,0
vereist specifieke vaardigheden,requires specific skills,3,4,3,2,3,4,4,2,4,4,2,4,3,4,4,4,4,3,3,4,4,4,2,4,3,3,4,3,4,2,2
