,feature/ exemplar ENGLISH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
feature / exemplar DUTCH,,freq,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
bestaat in verschillende kleuren,exists in several colours,12,2,1,1,1,1,2,0,1,0,1,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,4
bestaat in verschillende soorten,exists in several kinds,4,0,3,0,0,0,0,0,0,3,0,0,1,0,3,0,2,1,1,0,1,0,2,0,1,0,3,0,0,1,1
bevat vitaminen,contains vitamins,14,1,1,0,1,1,2,3,1,0,1,1,4,1,0,1,1,4,3,2,0,0,4,4,3,1,1,3,0,0,3
eetbaar,is edible,14,2,3,3,1,0,3,1,4,2,0,1,0,0,0,0,4,0,0,1,0,0,1,3,0,0,1,0,1,1,0
gebruikt men voor soep,is used in soup,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
groeit in de grond,grows in the ground,4,4,3,1,1,1,2,2,3,4,2,0,0,1,0,2,2,0,0,0,0,0,1,2,0,0,4,0,0,1,4
groeit in de tuin,grows in the garden,7,0,2,0,2,1,0,0,0,3,2,0,0,3,0,0,2,0,2,0,1,0,0,3,2,0,2,0,1,1,0
groeit onder de grond,grows under the ground,5,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
groene kleur,green colour,12,2,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is gezond,is healthy,20,4,4,3,1,0,2,1,4,4,0,2,0,1,0,1,4,0,0,0,0,0,1,4,0,0,3,0,1,0,2
is niet lekker,is not tastily,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is voedzaam,is nutritious,2,1,0,0,0,0,0,0,1,3,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1
je kan het zelf kweken,you can cultivate it by yourself,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
kan je kopen op de markt,you can buy it on the market,3,0,4,1,1,0,0,0,0,4,0,0,0,0,4,1,4,0,0,0,0,0,0,0,2,0,4,0,0,0,0
kan je rauw eten,you can eat it raw,5,0,4,1,0,1,1,1,1,0,0,0,2,0,4,0,0,2,2,1,2,0,1,0,0,2,0,1,2,0,0
kan verschillende vormen aannemen,can have several shapes,6,4,3,2,3,3,2,2,2,0,3,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,2,2,2,2
lekker,is tastily,5,0,0,0,0,2,0,4,0,1,0,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,1,0,1,1,4
niet geliefd bij kinderen,not loved by children,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plant,plant,4,1,1,0,0,0,0,1,1,2,1,1,1,1,1,0,0,1,2,1,2,1,1,1,1,3,1,1,2,2,2
smaakt flauw,tastes bland,2,4,4,3,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3
wordt gekookt,is boiled,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gekweekt,is cultivated,9,2,4,1,0,2,1,1,2,2,0,1,0,4,3,4,3,2,0,2,1,0,0,3,2,0,3,2,3,1,3
bewaar je in de koelkast,is kept in the fridge,3,0,0,3,3,3,1,2,2,3,3,1,2,3,1,2,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3
is een tomaat,is a tomato,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
is niet altijd groen,is not always green,2,4,4,3,4,0,4,4,3,4,0,0,0,0,4,4,4,0,3,4,4,4,1,1,0,0,4,0,4,4,4
is niet zoet,is not sweet,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,2,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3
kan verschillende smaken hebben,can have different tastes,3,3,0,1,0,0,1,1,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
wordt besproeid,is sprayed,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
wordt gegeten bij een warme maaltijd,is eaten warm,4,4,4,4,4,2,3,4,4,4,4,4,4,1,4,3,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4
wordt gegeten door vegetariërs,is eaten by vegetarians,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
