,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip,
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep,
bestaat al lang,has been existing for a long time,4,0,4,2,4,4,3,1,3,4,4,0,3,4,4,4,1,4,1,4,4,
bestaat in verschillende groottes,exists in different sizes,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,
bestaat in verschillende soorten,exists in different kinds,7,2,3,3,3,4,3,3,3,2,3,2,4,3,3,3,4,4,3,3,4,
bestaat in verschillende vormen,exists in different forms,6,2,3,3,3,4,3,3,3,2,2,2,3,4,2,3,3,2,2,3,2,
bevat kogels,contains bullets,10,2,0,0,0,0,4,0,2,0,0,4,4,0,0,0,2,0,4,0,0,
dient om je te beschermen,is used to protect you,13,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,3,1,0,2,
gemaakt uit metaal,made of metal,9,1,2,1,2,1,1,1,1,4,1,1,1,2,1,3,1,2,1,1,1,
heeft een handvat,has a grip,5,1,0,0,0,0,3,1,3,0,0,3,2,0,0,0,2,0,2,0,0,
heeft een loop,has a barrel,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,
is gevaarlijk,is dangerous,14,2,1,0,0,0,0,0,4,0,2,0,0,1,0,1,1,0,0,0,0,
is gewelddadig,is violent,3,3,0,1,1,1,2,2,3,0,0,2,2,0,1,0,3,0,2,0,0,
is hard,is hard,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
is verboden,is forbidden,2,3,0,0,2,0,3,0,2,0,3,3,1,0,4,2,1,3,4,3,3,
is zwaar,is heavy,4,0,2,0,3,2,0,0,2,1,2,0,0,3,2,2,1,2,0,3,1,
is zwart,is black,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
je kan er iemand mee doden,you can kill someone with it,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4
vernielt,destroys,4,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0
wordt gebruikt bij sport,used in sports,2,2,2,3,2,2,2,1,1,2,2,1,2,4,2,2,2,2,2,2,2
wordt gebruikt door criminelen,used by criminals,3,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,3,2,4,4,3
wordt gebruikt door politie,used by police men,11,0,1,1,0,2,0,0,0,0,2,0,0,0,1,2,0,2,0,1,4
wordt gebruikt door soldaten,used by soldiers,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
wordt gebruikt om oorlog te voeren,used to make war,13,4,0,0,0,0,4,4,4,0,0,4,4,0,0,0,4,0,3,0,1
wordt gebruikt om te jagen,used to hunt,5,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
gebruiksvoorwerp,implement/tool,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1
is onderhevig aan regels,is subject to rules,3,4,1,2,1,2,4,4,4,1,1,4,4,1,1,0,4,0,4,2,0
is populair in Amerika,is popular in the United States,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
je kan er iemand mee verwonden,you can injure someone with it,11,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
kan je mee schieten,can be shot with,2,4,0,0,4,0,4,0,4,4,0,4,4,0,0,0,3,0,4,0,0
komt vaak voor in films,occurs often in films,2,1,1,0,0,2,4,2,2,0,0,3,4,1,1,1,1,0,3,3,0
moet je een wapenvergunning voor hebben,you need a weapon license for it,6,4,0,1,1,1,4,3,3,0,0,4,4,0,0,0,3,0,4,1,0
vind je vaak in actiefilms,is often found in action movies,2,2,1,1,0,1,4,2,1,0,0,3,4,0,0,0,2,0,3,2,0
wordt alleen door mensen gebruikt,is only used by humans,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4
