,feature/ exemplar ENGLISH,,anvil,chisel,axe,drill,crowbar,adjustable spanner,lawn mower,hammer,clamp,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,wire brush,vacuum cleaner,tongs,rope,paint brush,file,level,saw
feature / exemplar DUTCH,,freq,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
beschadigt gevoelige oppervlaktes,damages delicate surfaces,4,1,2,2,2,2,0,1,2,0,1,1,1,2,0,0,0,1,2,1,1,2,2,1,0,0,0,0,3,0,3
bestaat al lang,has been existing for a long time,40,4,2,4,0,1,0,0,4,1,3,1,1,3,0,0,1,3,3,4,1,1,3,1,0,3,3,2,3,1,3
bestaat in verschillende diktes,exists in different thicknesses,5,1,2,1,2,1,2,1,3,3,1,1,1,2,3,2,1,2,2,2,3,3,3,2,1,3,4,3,3,1,2
bestaat in verschillende kleuren,exists in different colors,37,0,1,1,4,0,0,4,1,1,0,0,3,2,0,2,1,1,1,2,3,0,1,0,4,2,3,3,1,3,1
bestaat in verschillende maten,exists in different sizes,112,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4
bestaat in verschillende soorten,exists in different kinds,29,1,2,4,4,3,2,4,4,3,2,2,2,4,3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,2,4
bestaat ook als zitmaaier,is also available as a mower you can sit upon,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bestaat uit twee delen,consists of two parts,8,0,0,1,3,0,1,2,1,2,1,0,1,2,0,0,1,0,0,1,1,1,0,1,3,0,0,1,1,0,1
bevat een vloeistof,contains liquid,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
bevindt zich in een werkplaats,is found in a workplace,7,4,4,4,4,4,4,2,4,4,3,4,4,3,4,4,4,1,4,3,4,4,4,4,1,4,4,4,4,4,4
blinkt,shines,6,1,1,2,0,1,2,0,2,0,1,1,0,4,3,0,2,1,0,2,3,0,3,0,1,0,0,0,0,0,3
daar hak je hout mee,is used to chop wood,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de maten worden aangeduid met nummers,the size is indicated by numbers,4,0,0,0,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0
dient om de aarde om te spitten,used to turn over/spade the ground,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
dient om dingen mee door te knippen,is used to cut things in two,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
dient om gaten op te vullen,is used to fill up holes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om gras te maaien,is used to mow the grass,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om grond om te ploegen,is used to plough the land,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
dient om hout aan elkaar te bevestigen,used to stick wood together,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
dient om hout te bewerken,to manifacture wood,13,0,3,1,2,0,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,1,0,1,0,0,0,0,2,0,4
dient om iets aan de muur op te hangen,is used to hang things on the wall,15,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
