,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bestaat al lang,has been existing for a long time,15,0,4,2,4,4,3,1,3,4,4,0,3,4,4,4,1,4,1,4,4
bestaat in verschillende formaten,exists in different measurements,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,2,3,4,4
bestaat in verschillende groottes,exists in different sizes,16,3,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4
bestaat in verschillende kleuren,exists in different colors,29,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,3
bestaat in verschillende lengtes,exists in different lengths,9,4,4,2,3,4,3,2,3,2,4,2,3,3,4,4,2,3,4,4,4
bestaat in verschillende maten,exists in different sizes,19,3,4,4,3,4,3,4,3,3,3,3,4,3,3,3,3,2,3,3,3
bestaat in verschillende soorten,exists in different kinds,16,2,3,3,3,4,3,3,3,2,3,2,4,3,3,3,4,4,3,3,4
bestaat in verschillende vormen,exists in different forms,11,2,3,3,3,4,3,3,3,2,2,2,3,4,2,3,3,2,2,3,2
bestaat uit verschillende materialen,exists in different materials,6,3,4,3,4,3,3,3,3,4,2,3,3,3,3,1,3,3,3,3,3
bevat kogels,contains bullets,54,2,0,0,0,0,4,0,2,0,0,4,4,0,0,0,2,0,4,0,0
bevindt zich in een museum,is found in a museum,8,2,4,0,3,3,3,3,4,1,1,2,1,4,4,1,3,1,3,4,1
bevindt zich op een schip,is found in a boat,8,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0
daar hak je hout mee,is used to chop wood,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om een boomhut mee te maken,is used to make a (tree) cabin,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0
dient om iets op te hangen,is used to hang something on,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dient om je te beschermen,is used to protect you,40,1,0,2,1,2,1,0,0,1,1,1,2,4,1,2,1,0,0,2,0
dient om te boksen,is used to box,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om te gaan wandelen,used to go walking,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
dient om te schieten,is used to shoot,112,4,0,0,3,0,4,0,4,3,0,4,4,0,0,0,1,0,4,0,0
dient om te snijden,is used to cut,5,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
dient voor rond de vingers,can be found around your fingers,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaat snel,goes fast,4,2,0,0,1,0,3,1,3,1,0,3,3,0,1,0,2,0,2,0,2
gebruikt buskruit,uses gunpowder,4,1,0,0,0,0,3,1,3,0,0,3,2,0,0,0,2,0,2,0,0
gebruikt door mannen,used by men,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gebruikt een vergunning,uses a license,23,2,0,1,0,1,4,2,2,0,0,4,3,0,0,0,2,0,4,1,0
gebruikt om te klimmen,used to climb,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
geeft een knal,produces a bang,10,4,0,0,0,0,4,4,4,0,0,3,4,0,0,0,3,0,4,0,0
geeft een terugslag,gives a recoil,6,4,0,0,1,0,3,0,4,1,0,4,3,0,0,0,2,0,2,0,0
gemaakt uit hout,made of wood,97,0,3,0,4,1,0,0,0,3,4,0,0,1,3,4,0,0,0,0,0
gemaakt uit metaal,made of metal,74,4,4,3,2,4,4,2,4,0,1,4,4,4,2,0,4,0,4,4,0
gemaakt uit plastic,made of plastic,12,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
