beschermt je tegen de kou,protects against the cold,3,3,3,3,2,3,1,3,3,3,2,2
beschermt tegen de regen,protects against the rain,1,3,2,3,2,2,1,3,2,3,2,2
beschermt tegen de zon,protects against the sun,1,3,1,3,2,2,1,3,2,3,2,2
bestaat al lang,has been existing for a long time,-3,-2,2,0,-3,0,-1,3,-3,3,0,1
bestaat in verschillende kleuren,exists in different colors,-1,-3,0,0,0,1,0,1,1,1,2,0
bestaat in verschillende maten,exists in different sizes,1,2,3,0,3,2,2,1,1,1,3,0
dient om je te bedekken,is used to cover yourself,2,3,3,3,2,2,-1,3,2,3,2,2
geeft warmte,gives warmth,1,1,2,0,1,0,2,1,3,1,1,1
is duur,is expensive,-3,-3,0,0,-2,-2,1,0,-1,-3,-1,-3
is mooi,is beautiful,-3,-3,1,0,-2,1,2,1,1,-3,1,-3
is van stof,is made of fabric,-2,3,3,0,3,2,3,0,3,2,1,-3
is van textiel,is made of textile,2,3,2,0,3,2,3,0,3,2,2,-3
is van wol,is made of wool,-2,2,-1,1,2,-1,1,0,-2,1,1,-3
kan statussymbool zijn,can be a status symbol,0,-2,1,0,-2,0,2,1,1,1,0,1
koop je in de winkel,bought in a store,-3,-3,2,0,1,1,1,1,2,1,0,1
moet je wassen,needs to be washed,2,2,1,0,2,2,2,1,2,1,2,1
wordt verkocht in kledingswinkels,sold in clothes shops,2,3,3,3,3,1,3,1,3,3,2,0
beschermt je lichaam,protects your body,3,3,3,3,3,2,2,2,1,-3,2,2
dient een esthetisch doel,has esthetic purposes,2,3,1,1,2,1,2,1,1,2,2,0
drukt je persoonlijkheid uit,expresses your personality,1,1,1,2,1,1,1,2,0,0,1,0
is bedoeld om aan te doen,is meant to wear,3,2,3,3,3,3,3,2,2,3,2,2
is confectie,ready-to-wear clothes,0,3,-2,1,1,1,1,2,1,0,1,2
is er in verschillende stijlen,comes in different styles,-1,0,2,2,1,1,1,-1,1,2,1,1
is er in verschillende stoffen,comes in different fabrics,-1,1,2,2,1,1,1,0,1,2,2,1
is fleurig,is abloom,-3,0,0,0,1,-2,0,-3,0,-2,-3,-2
is maatwerk,custom-made,-2,2,1,0,1,-2,1,-2,0,-1,-2,-1
is modegebonden,comes into fashion / goes out of fashion,2,3,2,2,1,2,3,1,2,2,2,0
is onmisbaar,is indispensable,1,1,-1,1,1,3,2,-1,0,2,-3,0
is plooibaar,is pliable,-3,2,0,1,1,0,0,-3,1,0,-3,-1
is seizoensgebonden,is season-tied,1,2,3,1,3,1,2,2,0,1,-1,1
is verschillend voor mannen en vrouwen,is different for men and women,1,2,2,1,3,2,2,3,2,1,0,1
kan scheuren,can rip,-2,1,-3,1,1,0,1,-2,1,1,-3,-1
kan verslijten,can wear off,-3,1,-3,2,1,0,1,-1,1,-2,-3,-1
verschilt van cultuur tot cultuur,differs from one culture to the other,1,2,0,1,2,2,3,0,2,0,-3,-1
vind je in de kleerkast,is found in a clothing cupboard,3,3,1,3,3,1,3,2,0,2,2,1
wordt door iedereen gedragen,is worn by everyone,2,2,0,3,3,2,3,3,0,1,2,2
wordt genaaid,is sewn,2,2,-1,2,2,1,2,-1,0,2,1,1
wordt snel vuil,easily gets dirty ,-3,0,-3,1,0,1,1,-2,0,-2,-3,-1
