als tussendoortje,as a snack,3,-3,0,0,3,2,0,-3,3,-3,3,2
bestaat in verschillende kleuren,comes in different colours,3,2,2,0,1,1,1,1,2,-3,1,0
bestaat in verschillende soorten,exists in different kinds,2,3,3,0,3,2,1,3,3,-3,3,1
bevat pitten,contains seeds,1,3,3,1,2,0,2,-3,2,-3,2,2
bevat veel vitaminen,contains vitamines,3,3,3,2,3,2,1,3,3,2,2,3
eetbaar,edible,3,3,3,1,3,2,-2,2,3,3,3,2
gezond,healthy,3,3,3,1,3,2,0,3,3,3,3,3
groeit aan bomen,grows on trees,2,1,2,1,1,1,1,1,1,1,1,2
groeit aan een plant,grows on a plant,2,2,2,1,1,0,1,2,0,3,0,1
groeit aan een struik,grows on a bush,1,1,2,1,1,1,1,-1,-1,3,0,1
groeit in de natuur,grows in the countryside,1,2,0,1,3,2,-1,1,1,3,0,1
heeft een schil,has a peel,2,3,3,0,3,1,3,2,2,-3,2,3
heeft veel zon nodig om te groeien,needs a lot of sun to grow,1,1,3,0,2,1,1,1,2,-3,2,2
is duur,is expensive,1,-1,-2,-1,3,0,0,-3,0,-3,1,-1
is een vrucht,fruit (in dutch: vrucht),2,3,3,2,3,-2,2,3,2,3,2,2
is rond,is round,1,3,1,-1,0,-1,1,-3,2,-3,0,-1
is sappig,is juicy,3,3,3,1,3,2,2,2,2,-3,2,2
is seizoensafhankelijk,is seasonal,2,3,3,2,3,1,0,3,2,2,3,1
is zacht,is soft,1,3,1,-1,1,1,0,-3,1,-3,1,-2
kleurrijk,colourful,3,1,2,-1,2,2,0,0,2,-3,0,-1
lekker,tasty,3,3,3,1,3,2,-3,2,2,-3,2,2
ruikt lekker,smells nice,-1,3,3,1,1,1,0,-3,1,-3,3,-1
smaakt fris,tastes fresh,2,3,3,1,2,2,0,1,3,-3,3,2
wordt gebruikt in een fruitsalade,used for making fruitsalad,1,2,2,1,3,2,1,3,3,-3,3,2
wordt gekweekt,is grown,2,2,3,1,2,1,-3,0,1,2,0,-1
wordt na een tijdje rot,rots after a while,2,3,3,1,3,2,-2,1,2,1,3,2
wordt veel gebruikt bij desserts,often used for deserts,1,1,1,-1,3,-1,0,1,2,1,2,3
zoete smaak,sweet taste,2,3,3,2,3,1,1,-3,2,-3,0,2
heeft een felle kleur,has a bright colour,-1,3,-1,1,2,1,-1,-2,2,1,1,-2
kan je in de supermarkt kopen,can be bought at the supermarket,-3,1,0,0,1,2,0,-1,0,-2,-3,-1
kan verschillende vormen hebben,comes in different shapes,-1,0,1,0,2,1,0,2,0,0,-3,0
rijpt,ripens,3,3,3,3,3,2,1,2,2,1,2,3
