bestaat al lang,has been existing for a long time,-3,-3,0,0,-3,2,-1,1,-1,2,1,-3
bestaat in verschillende soorten,exists in different kinds,-3,-3,2,0,-3,1,1,1,2,1,0,-3
bestaat in verschillende vormen,exists in different forms,-2,-3,0,0,-3,1,-1,1,2,1,0,-3
dient om eten in te bewaren,used to store food,-3,2,-1,2,3,1,1,0,1,-3,0,1
gemaakt uit hout,made of wood,-2,-2,-1,0,-3,0,0,1,-1,-3,1,0
gemaakt uit metaal,made of metal,-1,-2,2,0,-3,0,0,1,2,1,1,0
gemaakt uit plastic,made of plastic,-1,-2,2,0,-3,0,0,1,2,1,1,0
heeft een handvat,has a grip,-3,-3,1,0,-2,0,-2,0,-2,-3,0,0
heeft iedereen,everybody has it,-2,1,2,0,-3,2,2,1,-2,1,1,0
is duur,is expensive,-3,-3,-2,0,-3,-1,-1,0,-3,-3,-1,0
is functioneel,is functional,3,2,2,0,0,1,3,3,3,3,1,1
is grijs,is grey,-3,-3,-3,0,-3,-2,0,0,-3,-3,-1,0
is handig,comes in very handy,3,0,2,0,-3,-1,-1,1,3,2,1,1
is multifunctioneel,is multifunctional,-3,2,1,0,-2,-1,2,2,2,-1,1,1
is scherp,is sharp,-3,1,0,0,-1,-2,0,0,-3,-2,1,0
is stevig,is firm,-3,-2,0,0,-3,0,1,1,2,1,0,0
is wit,is white,-3,-3,-2,0,-3,-2,0,0,-3,-3,-2,0
kan je afwassen,can be dishwashed,-3,0,0,1,2,0,-1,1,2,1,1,0
koop je in de winkel,bought in a store,-3,-2,0,0,-3,1,2,0,1,1,-1,0
maakt lawaai,produces noise,-3,-3,-3,0,-3,-2,3,1,-3,-3,-1,0
moet je afwassen na gebruik,has to be washed after use,-3,3,1,1,2,2,2,1,3,1,1,0
wordt gebruikt bij het koken,used for cooking,3,3,3,3,3,2,3,3,3,2,3,2
wordt in de keuken gebruikt,used in the kitchen,-3,3,3,3,3,3,3,2,3,3,3,2
wordt vooral gebruikt door vrouwen,especially used by women,-2,1,-1,0,0,-1,2,1,-3,1,0,1
gebruik je om eten klaar te maken,is used to prepare food,3,3,3,3,3,0,3,3,1,2,2,3
is elektronisch,is electronic,0,1,0,0,1,-2,-2,0,-3,0,-3,0
is er in verschillende materialen,comes in different materials,0,0,1,0,0,0,-3,1,0,0,-3,1
is gereedschap,is a tool,2,-1,1,3,2,2,-1,1,1,-2,-1,2
is onmisbaar,is indispensable,1,1,-2,0,0,0,-3,2,-3,1,-3,-1
kan elektronisch zijn,can be electronic,1,1,0,2,0,1,0,2,1,1,-3,1
kan gevaarlijk zijn,can be dangerous,1,1,-1,0,0,-1,-3,-2,2,0,-2,1
kan je mee eten,can be used to eat with,2,2,0,1,3,1,1,1,2,2,1,1
kan je mee snijden,can be used to cut things,-1,2,0,1,2,-1,1,0,2,0,-1,0
kan tegen warmte,can stand heat,1,2,0,-1,1,0,-1,1,2,1,-3,0
koop je in een speciaalzaak,is bought in a specialist shop,1,-1,1,1,0,-2,-3,-2,-2,-1,-3,0
vergemakkelijkt het werk in de keuken,makes work in the kitchen easier,3,3,3,3,3,3,2,2,-1,3,2,1
vind je in de kast,is found in a cupboard,-1,2,-1,0,0,1,-3,1,-3,0,-1,-1
voelt koud aan,feels cold to the skin,-1,1,0,-2,0,-2,-3,0,-3,0,-3,-1
wordt soms cadeau gedaan aan pasgehuwden,is sometimes given to newly-weds as a present,1,2,0,2,1,0,0,1,-3,0,-1,-1
