er zijn verschillende soorten,there are many kinds of it,3,-3,0,3,3,2,1,3,3,-1,3,3
heeft een vacht,has a fur (in dutch: vacht),-2,3,1,3,2,2,1,0,2,1,3,2
heeft poten,has legs,1,0,-1,3,1,1,1,0,2,2,3,2
heeft vier poten,has four paws,0,2,-1,2,2,0,2,1,2,2,3,2
is een dier,is an animal,3,2,0,3,3,-2,2,3,3,3,3,3
kan verschillende kleuren hebben,can have different colors,-1,-3,-2,-1,2,1,0,3,3,0,3,2
kan zwemmen,can swim,2,-3,-1,1,0,-2,2,2,1,0,2,0
leeft in de zoo,lives in the zoo,0,2,0,1,2,2,3,0,2,1,2,-2
leeft in het wild,lives in the wild,0,2,-1,2,1,-2,2,0,0,2,0,2
leeft in water,lives in water,-3,-3,1,-3,0,0,0,-2,-2,0,-2,-1
leeft op het land,lives on land  ,3,3,-3,2,1,1,0,2,2,0,3,2
ademt,breathes,-3,1,-3,1,1,-2,0,1,0,0,-3,2
ademt door longen,breathes through lungs,-2,1,-2,3,2,2,3,3,2,0,2,3
baart levende jongen,its babies are born alive,3,3,-2,3,3,3,3,3,3,2,3,3
eet,eats,-3,1,-3,0,1,0,-2,0,0,0,-3,2
gaat dood,dies,-3,1,-3,0,1,-2,0,0,0,0,-3,2
heeft longen,has lungs,-2,1,-2,1,2,2,1,3,0,0,2,3
heeft ogen,has eyes,-3,1,-3,0,2,1,1,2,1,1,1,1
heeft tepels,has nipples,3,3,-2,2,3,3,2,-1,3,2,2,1
is behaard,is hairy,3,2,-2,1,2,2,2,0,2,2,-2,2
is een dolfijn,is a dolphin,-3,0,1,-1,-3,0,0,-1,-3,-1,-3,-1
is een levend wezen,is a living being,-3,0,1,3,1,1,0,0,2,2,2,1
is een mens,is a human,1,0,1,-1,-3,1,0,-1,-3,-1,-2,0
is er in verschillende groottes,comes in different sizes,1,0,1,-2,0,-1,1,2,0,0,-3,0
is er in verschillende vormen,comes in different shapes,1,0,1,-2,0,-1,1,0,0,0,-3,0
is gewerveld,is a vertebrate,1,1,2,3,2,3,3,2,2,1,2,3
is warmbloedig,is warm-blooded,3,2,2,1,2,3,1,3,2,2,2,3
kan niet vliegen,can't fly,2,2,1,0,-1,1,-3,-2,2,-2,-1,1
kan zich voortplanten,is able to reproduce,1,1,2,-1,2,2,3,3,2,2,-3,3
kan ziek worden,can become ill,-3,1,-3,-2,2,-2,-3,0,0,0,-3,0
leeft op het land en in het water,lives on land and sea,1,0,1,0,1,-2,-3,-1,2,0,0,1
legt geen eieren,does not lay eggs,1,2,3,2,3,2,3,3,2,1,2,1
wordt soms als huisdier gehouden,is sometimes kept as a pet,-3,0,-1,1,1,0,1,1,0,0,-3,1
zoogt de jongen,breastfeeds its babies,3,3,3,3,3,3,3,3,0,3,3,2
