bestaat al lang,has been existing for a long time,3,-3,-2,-2,0,0,1,0,3,0,3,0
bestaat in verschillende groottes,exists in different sizes,1,-3,0,-1,2,2,1,3,3,-2,1,3
bestaat in verschillende kleuren,exists in different colors,0,-3,-2,-2,2,1,0,3,1,-2,2,3
bestaat in verschillende soorten,exists in different kinds,1,-3,0,2,2,2,0,3,2,2,3,3
gemaakt uit hout,made of wood,0,-3,0,-1,0,2,2,-2,1,2,1,2
gemaakt uit metaal,made of metal,-3,-3,-2,-2,0,2,0,0,1,1,1,1
heeft snaren,has snares,1,3,2,0,1,1,1,-3,1,1,0,1
heeft toetsen,has buttons,2,-3,2,1,0,1,2,-2,1,2,0,-1
is duur,is expensive,2,-3,-3,-2,1,0,2,2,2,0,3,1
is een soort piano,is a sort of piano,1,2,2,-2,1,1,1,-3,0,1,0,-2
is een soort viool,is a sort of violin,1,2,3,-2,0,2,1,-3,0,1,0,-1
is te koop in een muziekwinkel,for sale in a music shop,3,1,1,2,2,3,2,3,3,2,3,2
je moet er noten voor kunnen lezen,you have to be able to read notes for it,1,2,2,1,1,3,3,-3,1,2,3,3
je moet erop blazen,you have to blow on it,1,-1,1,-2,-2,1,0,-3,0,2,0,0
kan je op spelen,can be played on,3,2,1,3,3,2,2,3,3,3,3,3
komt voor in een fanfare,featured in a brass band,2,1,1,1,1,1,1,2,3,2,3,-1
maakt een apart geluid,makes a special noise,2,1,1,2,2,1,1,3,1,1,1,0
maakt geluid,produces sound,3,1,3,3,3,3,1,3,3,2,3,3
maakt verschillende geluiden,produces different sounds,1,1,1,3,3,1,1,0,3,1,3,2
moet je leren bespelen,one has to learn how to play,2,2,2,2,3,3,2,3,3,3,3,2
wordt bespeeld door muzikant,played by a musician,3,3,2,2,2,3,1,3,3,3,3,2
wordt gecombineerd met andere instrumenten,is used in combination with other instruments,2,-1,1,2,3,2,2,3,2,1,3,1
wordt soms gebruikt om zang te begeleiden,sometimes used to accompany voice,1,1,1,3,2,2,2,2,2,1,3,0
bestaat in verschillende vormen,exists in different forms,-1,0,1,-1,0,1,0,1,0,0,-2,0
is bedoeld om muziek mee te maken,is meant to make music with,3,3,3,3,3,3,3,3,2,3,3,3
is breekbaar,is fragile,2,1,-3,-1,0,-2,-1,0,1,1,-2,0
is een blokfluit,is a recorder,-1,0,1,-1,-1,1,0,1,0,0,-3,0
is een gitaar,is a guitar,-1,0,1,-1,-1,1,0,1,0,0,-3,0
is een harp,is a harp,-1,0,1,-1,-1,1,0,1,-3,0,-3,0
is er in alle prijsklassen,is available for each price range,-1,-1,-1,-2,0,-2,-1,0,0,-2,-3,-1
is er in verschillende materialen,comes in different materials,-1,0,1,1,0,-1,1,-1,0,0,-2,0
is moeilijk te bespelen,is hard to play,1,2,0,1,1,1,-1,2,0,2,-2,1
kan je zelf maken,can be manufactured by yourself,-2,-1,-2,0,0,0,2,-2,0,-1,-3,0
klinkt mooi,sounds beautiful,1,2,1,3,2,1,1,0,0,2,1,1
werd al gebruikt in de oertijd,was used in early ages,1,1,0,-2,0,0,-1,-2,1,1,-3,-1
wordt alleen door mensen gebruikt,is only used by humans,3,1,1,1,1,1,2,2,1,1,-2,1
wordt gebruikt in orkesten,is used in orchestras,3,3,1,3,3,2,1,3,1,2,0,2
wordt met de hand gemaakt,is made by hand,1,0,0,0,1,-2,-2,-2,0,0,-3,0
zorgt voor ontspanning,provides entertainment,2,0,0,1,1,-1,2,1,1,1,-2,0
