bestaat in verschillende soorten,exists in different kinds,1,3,1,0,3,2,-3,-2,1,3,2,1
dient om mee te werken,used to work with,1,3,3,2,3,3,2,2,3,3,3,2
eventueel geautomatiseerd,can be automatized,2,3,1,0,3,1,-3,1,2,3,1,0
gebruikt in de bouw,used in construction,2,3,2,-1,3,2,1,2,3,3,1,-1
gemaakt uit hout,made of wood,2,1,1,-2,0,-1,-3,-2,1,-1,1,-3
gemaakt uit metaal,made of metal,3,0,2,-2,2,2,-3,-2,3,2,2,2
heeft een handvat,has a grip,2,3,2,1,2,1,-3,0,2,2,1,1
heeft een technische evolutie doorgemaakt,has gone through a technological revolution,2,3,2,-2,3,3,-3,0,1,3,-3,-2
is duur,is expensive,-1,3,0,-1,3,2,-3,0,-2,1,-3,1
is een handwerktuig,is a handtool,3,3,2,1,3,2,1,3,2,2,3,2
is gereedschap,is a tool,0,3,3,3,3,3,1,3,2,3,3,3
is groot,is big,0,-2,0,0,0,1,-3,-2,-2,0,0,-2
is handig,comes in very handy,3,3,2,1,3,3,-3,1,2,3,3,2
is multifunctioneel,is multifunctional,1,3,2,1,3,2,-3,1,2,2,0,-2
je kan er iemand mee verwonden,you can injure someone with it,0,3,3,-2,3,2,-3,-1,1,1,1,1
maakt lawaai,produces noise,2,1,1,-2,3,1,-3,-1,2,2,1,1
werd al gebruikt in de oertijd,was used in early ages,2,3,2,-3,3,2,0,0,1,3,0,-3
bestaat in verschillende groottes,exists in different sizes,-1,0,1,-1,0,-2,-1,1,0,0,-3,0
bestaat in verschillende vormen,exists in different forms,-1,0,1,-1,0,1,-2,1,0,0,-3,0
is bedoeld voor de handige harry,is meant for people who are handy,1,3,0,1,2,1,-2,-2,1,2,-2,1
is een goede uitvinding,is a good invention,1,1,0,1,1,0,1,3,1,1,-3,1
is een hamer,is a hammer,-3,0,1,-1,-1,0,0,1,-3,1,-3,0
is een hulpmiddel,is an aid,1,2,2,-1,2,2,3,1,2,3,2,2
is een kraan,is a crane,-3,0,1,-1,-1,0,0,1,-3,-1,-3,0
is een tractor,is a tractor,-3,0,1,-1,-1,-2,0,1,-3,-1,-3,0
is een verzamelnaam,is a collective noun,-3,0,2,3,0,2,-2,3,2,1,0,0
is elektronisch,is electronic,-2,1,0,-1,0,-1,-1,-1,-3,1,-3,1
is er in verschillende materialen,comes in different materials,-1,0,1,-1,0,0,1,2,0,0,-3,1
is onmisbaar,is indispensable,0,0,-3,1,0,0,2,3,1,1,-3,-1
kan gevaarlijk zijn,can be dangerous,2,1,-2,-1,1,1,1,-1,1,2,-3,1
vergemakkelijkt het werk  ,makes work easier,2,3,3,3,3,3,3,3,2,3,2,2
wordt bestuurd,is operated,3,1,1,-1,1,-2,-1,-1,2,-1,-3,0
wordt gebruikt door een vakman,is used by a professional,1,2,0,1,3,2,0,-2,-1,2,-2,0
wordt gebruikt door iedereen,used by everybody,1,0,0,0,0,1,1,2,1,-2,1,1
wordt gebruikt om iets te maken,is used to make something with,2,2,1,3,3,2,3,2,-3,3,2,2
wordt gebruikt om mee te werken,is used to work with,3,3,2,3,3,2,3,1,1,3,3,3
wordt vooral door mannen gebruikt,is primarily used by men,2,3,2,1,1,0,-3,0,1,1,-3,1
