bestaat in verschillende kleuren,exists in several colours,0,3,3,3,0,-3,-1,3,2,2,1,3
bestaat in verschillende soorten,exists in several kinds,1,3,3,3,0,-3,-3,3,3,3,1,2
bevat vitaminen,contains vitamins,3,3,3,3,2,0,2,3,2,3,2,3
eetbaar,is edible,3,3,3,3,1,0,3,3,2,2,0,3
gebruikt men voor soep,is used in soup,2,3,3,3,1,1,-3,3,3,2,-1,1
groeit in de grond,grows in the ground,-2,2,2,1,2,1,-3,1,2,2,1,2
groeit in de tuin,grows in the garden,-1,2,3,2,-3,1,-1,3,2,3,1,2
groeit onder de grond,grows under the ground,-2,1,2,1,2,1,-3,0,-1,2,3,2
groene kleur,green colour,-2,1,2,2,-3,-3,-3,-3,0,2,1,-2
is gezond,is healthy,1,3,3,3,0,0,-1,3,2,3,1,3
is niet lekker,is not tastily,3,-2,-1,-2,2,-3,-3,-3,0,-3,-3,-2
is voedzaam,is nutritious,3,3,3,3,2,1,1,3,2,3,2,3
je kan het zelf kweken,you can cultivate it by yourself,0,2,3,3,1,2,-3,3,2,2,1,2
kan je kopen op de markt,you can buy it on the market,2,3,3,3,1,-1,-3,3,2,3,-2,2
kan je rauw eten,you can eat it raw,1,1,3,3,0,1,-2,3,3,2,1,2
kan verschillende vormen aannemen,can have several shapes,1,3,2,2,2,-3,-2,3,3,2,0,-1
lekker,is tastily,3,2,3,3,-3,-3,-3,3,0,2,-2,2
niet geliefd bij kinderen,not loved by children,-2,2,-1,-3,3,1,-3,0,-2,2,-1,2
plant,plant,1,1,2,1,1,0,-3,3,2,3,2,1
smaakt flauw,tastes bland,2,2,0,1,-3,-3,-3,-3,0,-2,0,-1
wordt gekookt,is boiled,2,3,3,3,2,-3,-2,3,2,2,0,1
wordt gekweekt,is cultivated,0,1,3,0,2,0,-1,3,3,2,2,2
bewaar je in de koelkast,is kept in the fridge,2,1,1,1,2,1,-2,1,0,2,-1,1
is een tomaat,is a tomato,-3,0,1,0,-1,-1,-3,0,-3,-1,-3,0
is niet altijd groen,is not always green,1,-1,0,-1,1,2,-1,2,1,-1,-3,0
is niet zoet,is not sweet,2,0,0,-1,2,1,-3,-1,0,0,1,1
kan verschillende smaken hebben,can have different tastes,2,0,1,-1,2,2,3,2,1,2,-1,2
wordt besproeid,is sprayed,-1,1,0,0,1,0,2,-2,-3,0,-1,-1
wordt gegeten bij een warme maaltijd,is eaten warm,0,2,0,2,3,2,1,0,0,2,1,2
wordt gegeten door vegetariërs,is eaten by vegetarians,3,3,1,2,3,-1,2,2,0,2,-2,2
