aangetrokken door blinkende dingen,is attracted by shiny objects,1,1,1,1,-1,-3,-2,-2,1,1,-2,-2
aaseter,is a scavenging animal,2,1,-1,1,-1,1,-3,1,1,1,2,-3
bedreigde diersoort,endangered species,1,3,-2,1,2,-3,-2,-2,0,-2,0,0
blauwgrijs,is bluish grey,-2,0,0,-2,1,-3,-3,0,-2,0,1,-3
bouwt nesten,builds nests,3,3,3,2,2,2,2,3,3,3,3,3
braakt braakballen,vomits pellets,1,1,0,1,2,2,-3,2,1,1,-3,-2
brengt kindjes,brings children,1,2,-3,1,-3,1,-3,-3,2,0,-3,-3
broedt andere eieren uit,hatches out other eggs,1,1,2,-1,2,3,-3,0,2,1,-3,-2
bruin/zwart van kleur,is brown/black,0,1,0,-1,1,-1,-3,0,-2,1,2,-3
dief,is a thief,1,1,-3,-2,1,-3,-3,-3,0,-2,-1,-3
draagt ring,carries a ring,1,1,-3,-1,-2,-3,-3,-1,0,1,-2,-1
drijft op het water,floats on water,1,0,-1,1,0,2,-3,-3,1,1,1,-3
eet bessen,eats berries,2,3,2,1,1,-2,-3,3,2,2,2,1
eet brood,eats bread,1,3,1,1,1,1,-3,0,1,2,2,1
eet fruit,eats fruit,1,3,1,0,1,-2,-3,2,1,2,1,1
eet graan,eats grain,1,3,1,2,2,1,-2,3,-1,2,1,-1
eet insecten,eats insects,2,3,2,1,1,1,-1,3,2,2,2,-1
eet kikkers,eats frogs,2,1,-1,0,1,1,-3,0,1,1,-2,-1
eet kleine dieren,eats small animals,2,1,2,0,3,1,2,1,2,1,1,0
eet muizen,eats mice,2,-1,-2,1,-2,-1,-3,-3,0,1,-2,-3
eet vis,eats fish,2,0,0,1,2,1,-3,0,0,1,0,-3
eet wormen,eats worms,3,2,2,2,3,3,-2,0,2,2,2,1
eet zaad,eats seed,1,3,1,2,3,2,1,3,1,3,2,1
er zijn verschillende soorten,there are many kinds of it,3,3,3,2,3,-3,3,3,3,3,3,1
filtert met zijn snavel eten uit het water,filtrate food out of the water with its bill,1,1,-2,2,1,1,-3,3,1,1,0,-2
fluit,sings (whistles),2,2,1,2,1,-1,-3,3,1,3,2,3
gebruikt in wedstrijden,is used in competitions,1,1,-2,-3,2,-3,-3,1,1,-2,-2,-3
geel,yellow,0,-3,-2,1,-3,-3,-3,0,-2,-1,1,-1
gegeten op feestmalen,is eaten on festive dinners,1,1,-1,1,0,-2,-3,2,1,1,-3,-3
gevaarlijk,is dangerous,1,-2,-2,-2,1,-3,-3,-3,0,-3,-2,-2
grijs,is grey,-2,1,0,-2,-1,-3,-3,-1,-2,1,2,-2
grijs-wit,grey-white,-2,0,1,-2,-1,-3,-3,0,-2,0,-3,-3
heeft 2 ogen,has two eyes,3,3,3,1,3,-3,3,3,3,3,3,-1
heeft een donslaag,has downy hair,2,3,1,0,2,1,-1,3,1,2,2,-2
heeft een gele snavel,has a yellow bill,3,1,-2,2,-1,3,-3,1,2,1,1,-1
heeft een grote spanwijdte van de vleugels,has a large wingspread,3,1,1,2,1,3,-3,2,1,1,1,-2
heeft een grote staart,has a large tail,2,3,0,1,-1,-2,-3,0,0,0,0,1
heeft een kam,has a crest,1,1,-2,1,-1,-3,-3,1,1,1,-3,-3
heeft een kromme bek,has a hooked bill,3,1,-1,2,0,3,-3,0,1,1,0,-3
heeft een lange nek,has a long neck,1,1,-2,0,-2,-3,-3,-3,2,-1,-2,-3
heeft een puntige bek,has a pointed mouth,3,1,1,2,2,2,-3,3,2,1,2,1
heeft een rood borstje,has a red breast,2,0,-2,2,0,2,-3,-3,2,0,-1,1
heeft een snavel,has a bill,3,3,2,3,3,3,3,3,3,3,3,1
heeft een staart,has a tail,2,3,2,2,-3,1,1,3,3,3,2,0
heeft grote bek,has a big bill,3,2,0,0,1,1,-3,0,1,-1,-2,-3
heeft grote klauwen,has big claws ,2,3,-2,-2,1,1,-3,0,2,1,1,-3
heeft grote ogen,has large eyes,1,2,0,0,1,-3,-3,-3,1,-1,-3,-3
heeft klauwen,has claws,2,3,-2,-2,1,1,-3,3,2,2,1,-3
heeft korte poten,has short paws,2,1,1,0,0,2,-3,-2,-1,1,2,-1
heeft lange poten,has long paws,1,3,-2,0,1,-1,-3,0,0,1,0,-2
heeft mooie staart,has a beautiful tail,1,3,1,1,-2,1,-3,0,2,1,1,1
heeft mooie veren,has beautiful feathers,2,3,2,2,2,2,-3,0,2,3,1,1
heeft oog op veer,has an eye on its feathers,1,0,-2,2,-1,1,-3,2,1,0,-3,-3
heeft rode kwab hangen,has a red dewlap,2,-1,-2,0,-1,-1,-3,-3,1,1,-3,-3
heeft scherpe klauwen,has sharp claws,3,3,0,-1,2,1,-3,2,1,2,2,-3
heeft snavel met zak aan,has a bill with a crop,1,1,-2,1,0,3,-3,-2,0,1,-3,-2
heeft twee poten,has two paws,3,3,3,2,3,0,3,3,3,3,3,1
