afrika,afrika,1,2,-1,-2,-1,1,0,-3,-1,-3,1,0
als tussendoortje,as a snack,3,-3,0,0,3,2,0,-3,3,-3,3,2
apen eten het graag,monkeys like to eat it,1,0,0,-1,-1,0,3,-3,0,1,0,1
beetje zurig,a little sourish,3,2,1,1,0,1,2,-3,2,-2,0,0
behaard,hairy,-2,2,1,-1,-1,-1,0,-2,1,-3,0,1
bestaat in verschillende kleuren,comes in different colours,3,2,2,0,1,1,1,1,2,-3,1,0
bestaat in verschillende soorten,exists in different kinds,2,3,3,0,3,2,1,3,3,-3,3,1
bestaat uit beentjes,consists of little 'legs' (in dutch: beentjes),-2,3,0,-1,-3,-1,1,-3,-3,-3,-3,1
bestaat uit kleine bolletjes,consists of little globules,-2,3,0,-1,-1,-1,2,-3,-1,-3,-1,1
bestaat uit partjes,consists of quarters,1,3,0,1,2,1,3,-3,1,-3,1,1
bevat kokosmelk,contains milk,-2,0,-1,-1,0,-1,3,-3,1,-3,3,1
bevat pitten,contains seeds,1,3,3,1,2,0,2,-3,2,-3,2,2
bevat veel calorieën,rich in calories,-1,3,1,1,2,1,-1,-3,1,-3,-3,-3
bevat veel vitaminen,contains vitamines,3,3,3,2,3,2,1,3,3,2,2,3
bevordert de darmwerking,stimulates the functioning of the intestines,1,3,0,-1,1,1,-3,2,2,-3,2,2
bij assepoester wordt er een koets van gemaakt,in cinderella it is used as a coach,-3,2,0,-2,-3,-2,3,-3,0,-3,-1,-1
bijbels,biblical,-3,0,-3,-3,-3,-1,0,-3,-1,-3,0,0
bruin aan de buitenkant,brown on the outside,-1,-3,2,-1,-1,-1,2,-3,-2,-3,0,-2
de schil is bitter,the peel is bitter,-2,2,0,-1,2,1,0,-3,0,-3,0,-2
de schil is niet eetbaar,the peel is not eddible,2,3,2,-1,1,-1,0,-3,1,-3,1,1
"dik vanonder, smaller boven","thick at the bottom, more slender at the top",-2,1,0,-2,1,-1,1,-3,1,-3,-1,0
dikke schil,thick peel,-1,2,0,1,0,-1,1,-3,1,-3,0,2
donkerrood,dark red,0,-3,1,-1,-1,-1,2,-3,1,-3,1,-2
donzige schil,downy peel,-2,3,1,-1,-3,-1,2,-3,1,-3,0,1
dorstlessend,thirst-quenching,2,3,3,-1,2,2,2,1,2,-3,-1,2
draai om je oren,"a box on the ears (in dutch: een vijg, een draai om je oren)",-3,1,1,-2,-3,-1,3,-3,-3,-3,0,1
een delicatesse,a delicacy,-1,-1,0,0,1,0,1,-3,2,-3,0,1
een gladde schil,has a smooth peel,-1,3,1,-1,0,-1,0,-3,1,-3,1,0
eetbaar,edible,3,3,3,1,3,2,-2,2,3,3,3,2
er zijn er in verschillende maten,comes in different sizes,2,-2,3,-1,1,2,1,2,2,-3,-2,1
exotisch,exotic,2,1,3,1,1,2,1,-3,2,-3,1,2
familie van de appelsien,family of the orange,1,1,0,1,1,-1,2,-3,1,0,2,1
familie van de citroen,family of the lemon,2,-1,-3,2,0,-1,2,-3,1,0,2,1
familie van de perzik,family of the peach,0,1,0,2,1,-1,1,-3,1,0,2,1
familie van mandarijn,family of the tangerine,1,1,0,2,1,-1,1,-3,1,0,2,1
fruit,fruit (in dutch: fruit),3,3,3,3,3,2,-3,0,3,3,3,3
gebruikt bij halloween,used on haloween,-2,2,-3,-2,0,-1,3,-3,0,-3,-1,0
gebruikt in fruitpap,used in fruit pap,2,0,3,-1,3,2,0,1,3,1,2,2
gebruikt in spreekwoord,used in (dutch) proverb,-2,-3,-3,-3,-3,0,-1,-3,0,-3,0,-1
gebruikt in yoghurt,used in yoghurt,-2,-3,0,-1,1,2,1,1,2,-3,2,1
gebruikt men in gerechten,used in dishes,0,2,0,1,0,0,0,1,2,-3,1,1
geel,yellow,1,-3,0,0,1,1,1,-3,1,-3,1,-2
geel vanbinnen,yellow inside,0,3,1,0,1,-1,2,-3,1,-3,0,-1
gegeten bij kaasschotels,eaten with cheese,0,1,-1,-1,-3,1,1,0,1,-3,0,1
gerimpeld,wrinkled,-3,3,0,-1,-2,-1,1,-3,-1,-3,0,1
gevaarlijk: kan op je hoofd vallen,dangerous: can fall on your head,-3,-3,-3,-3,-3,-1,2,-3,-2,-3,2,0
gezond,healthy,3,3,3,1,3,2,0,3,3,3,3,3
groeit aan bomen,grows on trees,2,1,2,1,1,1,1,1,1,1,1,2
groeit aan een palmboom,grows on a palmtree,-1,-1,0,2,-3,-1,3,-3,-2,-3,2,1
groeit aan een plant,grows on a plant,2,2,2,1,1,0,1,2,0,3,0,1
groeit aan een rank,grows on vines,-1,0,1,1,1,1,1,-1,1,-3,2,2
groeit aan een struik,grows on a bush,1,1,2,1,1,1,1,-1,-1,3,0,1
groeit in bos,grows in the woods,-2,-1,0,1,-3,0,1,-3,-2,-2,0,1
groeit in de natuur,grows in the countryside,1,2,0,1,3,2,-1,1,1,3,0,1
groeit in het voorjaar,grows in springtime,1,2,0,0,1,2,1,-3,-2,-3,0,1
groeit in het wild,grows in the wild,0,2,-3,-1,1,1,-2,1,-1,-3,2,-1
groeit in onze streken,grows in our region,1,0,0,-1,1,2,1,1,0,-3,0,0
groeit in tropische streken,grows in tropical regions,1,1,1,1,-2,1,2,-3,1,-3,2,1
groeit in trossen,grows in a bunch,0,-1,0,1,0,1,3,-3,1,-3,3,2
groeit in tuinen,grows in gardens,1,2,3,0,1,1,1,1,1,1,0,1
groeit in warme landen,grows in warm countries,2,1,1,-1,-3,2,2,-3,1,-3,1,-2
groeit laag bij de grond,grows close to the ground,-2,2,1,0,-1,0,0,-3,-1,-3,-2,1
groeit niet in belgie,does not grow in Belgium,-2,-2,-3,-1,-3,-2,1,-3,-1,-3,1,0
groeit rond middellandse zee,grows around the mediterranean sea,1,2,0,-1,0,-1,1,0,-1,-3,1,0
groen,green,0,-3,2,-1,-1,-1,0,-3,1,-3,1,-2
groene schil,green peel,2,0,0,-1,0,0,3,-3,0,-3,0,1
groene steel,green stem,-2,2,1,-1,-3,1,1,-3,-1,-3,2,1
grote pit,big stone,1,3,0,1,-1,-1,2,-3,0,-3,0,0
hangt soms per twee,hangs sometimes in twos,-1,-1,1,0,0,1,2,-2,1,-3,0,1
hard,hard,-1,2,1,-1,1,-1,1,-3,-1,-3,0,1
harde pit,hard stone,0,3,0,1,-1,-1,2,-3,0,-3,0,0
harde schil,hard peel,-1,2,1,1,0,-1,2,-3,1,-3,1,1
harig,hairy,-2,3,1,-1,-1,-1,0,-2,-1,-3,-1,1
heeft bladeren,has leaves,-2,-1,0,-1,-3,0,1,-3,-1,-3,2,1
heeft bobbeltjes,has little bumps,-3,3,0,-1,0,-1,0,-3,-1,-3,0,-2
heeft een donkere kleur,has a dark colour,-2,1,1,-1,-1,-1,1,-3,-1,-3,0,-2
heeft een harde kern,has a hard core,-1,3,1,0,0,-1,2,-3,-1,-3,0,2
heeft een klokhuis,has a core,1,3,2,1,1,0,3,-3,0,-3,3,2
heeft een kroontje,has a little crown,0,3,0,-1,0,-1,2,-3,0,-3,0,1
heeft een kruin van harde bladen,has a crown of hard leaves,-3,3,0,-1,-3,-1,1,-3,-2,-3,-1,0
heeft een pit,has a stone,2,3,2,1,3,1,1,-1,2,-3,0,2
heeft een schil,has a peel,2,3,3,0,3,1,3,2,2,-3,2,3
heeft een steeltje,has a stilk,1,2,3,-1,1,1,1,1,1,-3,2,2
heeft een stekelige schil,has a prickly peel,-3,3,0,-1,-1,-1,1,-3,-1,-3,0,-1
heeft groene bladeren,has green leaves,-2,0,0,-1,-3,-1,0,-3,-1,-3,0,-1
heeft roze kleur,has a rose colour,-2,-3,0,-1,1,-1,2,-3,1,-3,0,-1
heeft stekels,has prickles,-3,3,-2,-1,-3,-1,2,-3,-1,-3,0,-1
heeft vaak gele schil,often has a yellow peel,-1,0,-2,-1,1,-1,1,-3,0,-3,2,1
heeft veel zon nodig om te groeien,needs a lot of sun to grow,1,1,3,0,2,1,1,1,2,-3,2,2
heeft vruchtvlees,has flesh,2,3,3,2,2,1,1,-3,3,2,3,2
heeft zachte schil,has a soft peel,1,3,0,-1,-1,0,0,-3,1,-3,0,-1
het heeft geen uitgesproken geur,does not hav any particular smell,0,3,1,-1,-2,2,-1,-3,1,-3,2,0
het is plat,it is flat,-2,1,1,-1,0,-1,1,-3,-1,-3,0,-1
het is voedsel,is food,3,3,3,1,3,2,-3,3,3,3,3,2
het vlees van de vrucht is tamelijk hard,the flesh of this fruit is rather hard,-2,3,1,0,0,-1,2,-3,0,-3,1,1
het wordt niet veel gegeten in België,is not eaten a lot in Belgium,-3,0,-3,-1,0,-1,-2,-3,2,-3,-2,1
in gedroogde vorm: rozijnen en krenten,in dried form: rasins,-2,0,1,1,-1,2,3,-3,2,-3,3,0
in schijfjes,in slices,-2,1,2,-1,1,1,-3,-3,2,-3,0,2
in uitdrukkingen: zo plat als een …,"used in (dutch) proverb, as flat as a fig",-1,-2,0,-2,-2,-1,3,0,0,-3,2,1
is bitter,is bitter,-1,3,1,0,1,-1,2,-3,1,-3,0,-1
is blauw,is blue,-3,-3,0,-1,-3,-1,2,-3,-3,-3,-2,-2
is bruin,is brown,-3,-3,0,-1,-1,-1,2,-3,-1,-3,-3,-2
is duur,is expensive,1,-1,-2,-1,3,0,0,-3,0,-3,1,-1
is een bes,is a berry,0,1,3,2,1,-1,2,-3,1,1,3,1
is een citrusvrucht,is citrusfruit,1,3,2,2,0,0,3,-3,2,0,1,2
is een noot,is a nut,-2,3,1,0,-1,-1,2,-3,-2,-3,-3,1
is een steenvrucht,is fruit with a stone (in 'dutch': steenvrucht),-2,3,1,3,-1,-1,2,-3,1,-3,2,1
is een vrucht,fruit (in dutch: vrucht),2,3,3,2,3,-2,2,3,2,3,2,2
is groen als het nog niet rijp is,is green when it is not ripe yet,0,3,3,0,3,-1,1,-2,1,-3,0,2
is groen vanbinnen,is green inside,-3,3,-3,0,-2,-1,2,-3,-1,-3,0,-2
is groot,is big,0,3,0,-1,-2,-1,1,-3,0,-3,0,-1
is klein,is small,0,1,1,-1,-1,-1,1,-3,0,-3,0,-1
is krom,is bent,-1,3,0,-1,0,-1,3,-3,1,-3,0,2
is langwerpig,is elongated,-1,2,0,-1,-1,-1,1,-3,-1,-3,0,1
is mals,is tender,1,3,3,0,1,-1,1,-3,1,-3,0,1
is moeilijk open te maken,is difficult to open,-2,3,-3,-1,-3,1,1,-3,-1,-3,0,0
is mooi,is beautiful,2,1,2,-2,1,1,1,-3,2,-3,1,-2
is ook een snoepje,is also a sweet,-1,0,2,-1,-3,1,2,-3,-1,-3,0,-2
is oranje vanbinnen,is orange inside,-1,2,0,0,-1,-1,2,-3,1,-3,0,-1
is ovaal,is oval,0,3,1,-1,-1,-1,2,-3,1,-3,0,1
is peervormig,pear-shaped,-1,3,0,-1,-1,-1,2,-3,1,-3,0,-1
is rijp in de herfst,is ripe in autumn,-1,2,-2,1,-1,0,1,0,-1,-3,2,1
is rond,is round,1,3,1,-1,0,-1,1,-3,2,-3,0,-1
is sappig,is juicy,3,3,3,1,3,2,2,2,2,-3,2,2
is seizoensafhankelijk,is seasonal,2,3,3,2,3,1,0,3,2,2,3,1
is te koop op de markt,can be bought at the market,1,3,1,-1,3,2,-2,0,2,-3,3,1
is verfrissend,is refreshing,2,2,3,1,3,1,0,2,3,-3,3,2
is vers het best,best when fresh,3,3,3,1,3,2,0,1,3,2,3,2
is vezelig,is fibrous,-3,3,2,1,3,2,0,-3,2,-3,2,1
is voedzaam,is nutricious,3,3,3,2,3,2,-1,3,3,3,2,2
is wit,is white,-3,-3,0,-1,-3,-1,2,-3,1,-3,-1,-2
is zacht,is soft,1,3,1,-1,1,1,0,-3,1,-3,1,-2
is zuur,is sour,2,-1,1,1,0,1,2,-3,1,-3,0,-1
is zwaar,is heavy,-2,3,1,-1,-2,-1,1,-3,-3,-3,0,-2
is zwart,is black,-3,-3,0,-1,-3,-1,2,-3,-2,-3,0,-2
je kan deze leeghalen en er een kaars in steken,you can empty it to put a candle inside,-2,-3,0,-2,1,-1,3,-3,-2,-3,-3,1
je kan er sap van maken,you can use it to make juice,3,2,3,0,3,2,1,-1,3,-3,2,2
je kan er soep van maken,can be used for making soup,-2,-2,0,-1,-3,-2,0,-3,-2,-3,-2,-3
je kan er thee van maken,can be used for making tea,0,-1,0,-1,0,2,1,-3,0,-3,1,1
kan gedroogd worden,can be dried,-1,2,0,-1,-2,2,1,-1,1,-3,1,1
kan geperst worden tot sap,can be squeezed for juice,2,0,3,0,3,1,-1,-1,2,-3,3,2
kan giftig zijn,can be poisonous,-3,3,2,-2,-2,0,2,1,0,-3,0,-2
kan je eten met lepeltje,you can eat it with a teaspoon,-1,3,0,-2,-2,0,0,-3,-1,-3,-2,-1
kan je milkshake van maken,you can make milkshake from it,-1,0,1,-1,1,1,0,0,2,-3,2,2
kan uitgehold worden,can be hollowed out,-2,-3,2,-1,1,1,0,-3,1,-3,0,-1
kan warm of koud gegeten worden,can be eaten cold or hot,-1,2,3,-1,0,1,1,-1,2,-3,0,-1
klein en rond,small and round,0,3,2,-1,1,-1,2,-3,1,-3,-2,0
kleurrijk,colourful,3,1,2,-1,2,2,0,0,2,-3,0,-1
komen uit zuid-amerika,comes from Latin-Amerika,1,1,-1,-1,-1,1,2,-3,1,-3,1,0
komt uit china,comes from china,-2,3,0,-1,-3,1,0,-3,-1,-3,0,-1
komt uit nieuw-zeeland,comes from new-zealand,0,-3,0,-1,-3,0,2,-3,1,0,0,2
komt uit Spanje,comes from Spain,1,1,-3,-1,-3,1,1,-3,1,-3,0,0
koop je in de winkel,you buy it in shops,2,0,0,-1,2,1,-2,1,2,-3,-1,0
korrelig op tong,granular feeling on the tongue,-3,3,0,-1,-3,-1,1,-3,-1,-3,0,-1
krijg je van sinterklaas,santa gives it to you (in dutch: sinterklaas),0,0,0,-1,-1,1,2,-3,1,-3,1,1
kunnen we heel het jaar door eten,we can eat it the whole year through,1,2,3,0,0,2,1,1,3,-3,1,1
kwetsbaar,fragile,1,3,0,0,-3,-1,1,2,2,-3,1,-3
lekker,tasty,3,3,3,1,3,2,-3,2,2,-3,2,2
lekker bij ijs,tasty with ice,1,0,0,-1,3,2,0,2,2,-3,0,2
lekker in coca cola,nice in coca cola,-3,0,-3,-1,-3,-2,-3,-3,1,-3,-2,2
lekker in yoghurt,nice in yoghurt,-1,0,-1,0,2,2,-3,0,2,-3,2,-1
lekker met suiker,nice with sugar,-3,0,0,0,1,2,0,-3,2,-3,-2,1
lijkt op citroen,resembles lemons,0,1,-2,-1,-2,1,1,-3,1,0,0,-1
lijkt op een appelsien,resembles oranges,1,1,2,-1,1,-1,1,-3,1,0,2,1
lijkt op een mandarijn,resembles tangerines,-2,1,1,-1,1,-1,2,-3,1,0,0,1
lijkt op een perzik,resembles peaches,-2,1,0,-1,0,0,1,-3,1,0,0,0
lijkt op framboos,resembles raspberries,-2,1,0,0,1,0,1,-3,-1,0,1,1
maakt vlekken op kleren,makes stains on clothes,1,-1,0,-1,-3,-1,1,1,-2,-3,0,1
moet geschild worden,must be peeled,0,3,2,0,2,-1,1,-3,2,-3,1,2
niet lekker,does not taste well,-3,3,-3,-2,-3,-2,3,-3,1,-3,-3,1
niet zo bekend hier,not so well known here,-3,0,-2,-2,-3,-1,-1,-3,-3,-3,0,-2
oranje,orange colour,1,0,0,0,1,1,2,-3,1,-3,1,-2
over de schil kan je uitglijden,you can slip on the peel,-2,1,0,-2,-1,2,3,-3,-1,-3,2,2
paars vanbuiten,purple outside,-3,-3,1,-1,-1,-1,2,-3,-1,-3,0,-2
paarse kleur,purple colour,-3,-3,2,-1,-1,-1,2,-3,0,-3,0,-1
plakkerig,sticky,0,2,2,1,1,1,1,-1,-2,-3,0,2
puntjes,little dots,-3,3,-3,-1,0,-1,0,-3,1,-3,-2,-1
rijk aan vitamine C,rich in vitamine C,3,3,3,1,3,3,1,1,3,1,2,2
