absorbeert vocht,it is absorbent,-3,-3,-3,0,-2,-1,-2,-1,-3,-3,-2,-3
bak je vlees in,you roast meat in it,0,2,-2,2,3,1,1,0,1,-3,2,-3
bebouwde 'kom' is woonwijk,means residential area when in a compound with 'built',-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
behoort tot servies,is crockery,-2,3,-2,2,3,-1,-2,0,1,-3,1,-3
bestaat al lang,has been existing for a long time,-3,-3,0,0,-3,2,-1,1,-1,2,1,-3
bestaat in verschillende groottes,exists in different sizes,-3,-3,-2,0,-3,1,-2,1,2,1,1,-3
bestaat in verschillende kleuren,exists in different colors,-2,-3,-2,0,-3,1,-1,1,-1,1,-1,-3
bestaat in verschillende merken,exists in different brands,-3,-3,0,0,-3,1,-2,1,-2,1,1,-3
bestaat in verschillende modellen,exists in different types,-2,-3,0,0,-3,1,2,1,2,1,0,-3
bestaat in verschillende soorten,exists in different kinds,-3,-3,2,0,-3,1,1,1,2,1,0,-3
bestaat in verschillende vormen,exists in different forms,-2,-3,0,0,-3,1,-1,1,2,1,0,-3
bestaat nog niet zo lang,hasn't been existing for such a long time,-3,-3,-2,0,-3,-2,0,-3,-3,-2,-1,-3
bestaat uit twee delen,consists of two parts,-3,-3,-3,0,-3,-2,-2,0,-3,-3,-3,-3
bestaat uit verschillende delen,consists of different parts,-3,-3,-3,0,-3,-2,-1,0,2,2,-3,-3
bestaat uit verschillende gebogen staven,contains different curved bars,-3,-3,-2,0,-3,-2,-3,0,-3,-3,-3,-3
bevat dikwijls plant,often contains plants,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3
bevat drank,contains a beverage,-3,1,-3,1,2,-2,0,0,-3,-3,-3,-3
bevat rijst,contains rice,-3,-1,-3,1,2,-2,-3,0,-3,-3,1,-3
blinkt,shines,-1,1,0,0,-2,0,-3,-1,1,1,2,-3
brood springt eruit,pieces of bread jump out of it,-3,1,-3,2,3,-1,1,0,-3,-3,0,0
dient om blik te openen,used to open a can/tin,-2,2,0,2,3,0,1,0,-1,-3,1,0
dient om brood te roosteren,used to toast bread,-2,2,-3,2,3,-2,1,0,-1,-3,0,0
dient om brood te smeren,used to smeer bread,-3,1,-2,2,3,0,1,0,-1,-3,0,0
dient om de kookpot leeg te maken,to empty a cook pot,-3,0,0,2,3,0,-2,0,-1,-3,-1,-3
dient om de tafel te beschermen,used to protect the table,-3,2,-3,1,3,-2,-3,0,-3,-3,-2,-3
dient om dingen in op te bergen,used to store things,-3,2,-3,1,2,-1,-1,0,-3,-3,-2,-3
dient om dingen mee door te knippen,is used to cut things in two,-2,2,0,1,2,0,1,0,-2,-3,-1,1
dient om dingen te wegen,used to weigh things,-3,2,-1,1,3,0,1,0,-1,-3,0,1
dient om eten in te bewaren,used to store food,-3,2,-1,2,3,1,1,0,1,-3,0,1
dient om fruit te raspen,to grate fruit,-2,2,0,2,3,0,1,0,-1,-3,1,1
dient om goud te winnen,to mine gold,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dient om haren mee te knippen,used to cut hair,-3,-2,-3,-1,-3,-2,-3,-2,-3,-3,-3,-3
dient om iets in op te warmen,used to warm things up,-3,2,-2,1,3,0,1,0,1,-3,1,-3
dient om kaas te raspen,to grate cheese,-2,2,0,2,3,0,1,0,-1,-3,1,1
dient om lekker eten in te maken,used to cook good food in,3,2,-1,3,3,2,0,1,2,1,2,-2
dient om noten te kraken,used to crack nuts,-2,2,0,1,3,-1,1,0,-2,-3,1,-3
dient om pannenkoeken mee te maken,used to make pancakes,-3,1,-1,1,3,1,0,0,-3,-3,0,-2
dient om sauzen te maken,used to make sauces,-3,0,-1,2,3,0,0,0,-3,-3,1,0
dient om suiker in koffie te doen,used to put sugar in coffee,-3,2,-1,1,3,-2,0,0,-3,-3,0,0
dient om te kloppen,used to beat,-1,2,0,1,2,0,1,0,1,-3,2,1
dient om te knutselen,used for tinkering,-3,-3,-3,-2,-3,-2,-1,-2,-3,-3,-2,-3
dient om te raspen,to grate,-2,2,0,2,3,0,1,0,1,-3,2,1
dient om te snijden,is used to cut,-1,2,0,1,3,0,1,0,1,-3,2,1
dient om voedsel te mixen,used to mix food,0,2,0,2,3,1,1,0,1,-1,2,1
dient om wortels te raspen,to grate carrots,-2,2,0,2,3,0,1,0,-1,-3,1,1
doe je boter in,you put butter in it,-3,0,-2,2,0,2,1,0,-1,-3,0,-3
doe je olie in,you put oil in it,-3,0,-2,1,0,2,1,0,-1,-3,0,-3
draag je om je schouder,is worn around the shoulders,-3,-3,-3,-2,-3,-2,-3,-1,-3,-3,-3,-3
er kan water in,can hold water,-3,0,-2,0,-2,2,1,0,1,1,-2,0
er wordt een pot/pan op gezet,pots and pans are put on it,-3,2,-2,2,2,-1,1,0,-2,-3,-1,0
er zit soep in,there is soup in it,-3,2,-2,2,1,0,1,0,-2,-3,0,0
fluit wanneer water kookt,whistles when water boils,-3,2,-1,2,3,-1,1,0,-1,-3,0,0
gaat dicht met kurk,closes with cork,-3,-1,-2,2,1,-2,-2,0,-3,-3,0,0
gaat lang mee,lasts long,-3,-3,1,0,-2,2,-2,2,-1,2,1,0
gebruik ik nooit,I never use it,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,0
gebruik je als je cake bakt,used when you bake cake,-3,2,2,2,3,0,1,0,1,-3,0,0
gebruik je als je soep eet,used when you eat soup,-3,2,0,2,3,1,1,0,-2,-3,-1,0
gebruik je als je thee drinkt,used when you drink tea,-3,2,-1,2,3,1,1,0,-2,-3,-1,0
gebruik je in de badkamer,used in the bathroom,-3,-3,-3,-2,-3,-2,-2,-2,-3,-3,-3,0
gebruik je in de zandbak,used in the sandbox,-3,-3,-2,-2,-3,-2,-3,-3,-3,-3,-3,0
gebruik je met je handen,used with your hands,1,-3,3,0,-3,2,-3,1,1,2,2,0
gebruik je om te bakken,used to bake,-2,2,-1,2,3,2,1,0,2,-3,1,0
gebruik je om yoghurt te eten,used to eat yoghurt,-3,1,0,2,3,0,1,0,-3,-3,0,0
gebruik je samen met mes,used together with knife,-3,2,-1,2,3,-1,1,0,-3,-3,0,0
gebruikt heks,used by a witch,-3,-3,-3,0,-3,-2,-3,1,-3,-3,-3,0
gemaakt uit hout,made of wood,-2,-2,-1,0,-3,0,0,1,-1,-3,1,0
gemaakt uit metaal,made of metal,-1,-2,2,0,-3,0,0,1,2,1,1,0
gemaakt uit plastic,made of plastic,-1,-2,2,0,-3,0,0,1,2,1,1,0
gemaakt uit steen,made of stone,-3,-2,-1,0,-3,0,-2,-3,-2,-2,1,0
gemaakt van kunststof,made of synthetic material,-2,-2,1,0,-3,0,-2,1,2,1,1,0
heb je nodig om ingrediënten te wegen,is needed to weigh ingredients,-1,2,-1,1,3,1,0,0,-2,-3,0,0
heeft anti-aanbaklaag,has non-stick coating,-2,2,-1,2,3,-1,1,0,-2,-3,1,0
heeft bakplaten,has baking trays,-3,2,-2,2,3,-1,1,0,-2,-3,0,0
heeft bloemmotief,has floral design,-3,-3,-3,0,-3,-2,-3,0,-3,-3,-1,0
heeft een dampkap,has a cooker hood,-3,2,-3,2,3,-1,-1,0,-2,-3,0,0
heeft een deksel,has a lid,-3,2,-2,1,1,1,1,0,-1,-3,-1,0
heeft een deurtje,has a little door,-3,-3,-3,0,-3,-1,-3,0,-3,-3,-2,0
heeft een donkere kleur,has a dark color,-3,-3,-1,0,-3,-1,-3,0,-3,-3,-2,0
heeft een dop,has a cap,-3,-3,-2,0,-3,-2,1,0,-3,-3,-2,0
heeft een draaiknop,has a turning button,-3,-3,-1,0,-3,-2,0,0,-3,-3,-2,0
heeft een etiket,has a label,-3,-3,-2,0,-3,-1,-1,-1,-3,-2,-2,0
heeft een filter,has a filter,-3,-3,-2,0,0,-1,1,0,-3,-3,-2,0
heeft een gat,has a hole,-3,-3,-2,0,-2,1,-3,0,-3,-3,-2,0
heeft een handvat,has a grip,-3,-3,1,0,-2,0,-2,0,-2,-3,0,0
heeft een kijkraampje,has a looking window,-3,-3,-2,0,-2,-1,-2,0,-3,-3,-3,0
heeft een klok,has a clock,-3,-3,-2,0,-2,-2,-2,0,-3,-3,-1,0
heeft een lampje,has a little lamp,-3,-3,-2,0,-2,-2,-1,0,-3,-3,0,0
heeft een lemmet,has a blade,-3,0,2,2,2,-1,-2,0,-3,-3,0,0
heeft een snoer,has a wire,-3,-3,-2,0,-3,1,-1,0,1,-2,1,0
heeft een steel,has a handle,-3,-3,1,0,1,1,-1,0,1,-1,1,0
heeft een stekker,has a plug,-2,-3,-2,0,0,0,-1,0,1,-3,0,0
heeft een temperatuurregelaar,has a temperature switch,-3,-3,-2,0,1,-2,-1,0,-2,-3,-1,0
heeft een timer,has a timer,-3,-2,-1,0,1,-2,1,0,-2,-3,0,0
heeft een vriesvak,has a freezing compartment,-3,2,-3,2,3,-2,1,0,-3,-3,-1,0
heeft een wijzertje,has an indicator,-3,-3,-2,0,-2,-2,-2,0,-3,-3,-1,0
heeft gaatjes,has holes,-3,-3,-2,0,-3,-1,-1,0,-2,-3,-1,0
heeft geen geur,has no smell,-3,-3,-1,0,-3,1,-3,-3,-1,2,-2,0
heeft geen smaak,has no taste,-3,-3,-1,0,-3,1,-3,-3,-1,2,-2,0
heeft iedereen,everybody has it,-2,1,2,0,-3,2,2,1,-2,1,1,0
heeft kookplaten,has a griddle,-3,2,-2,2,3,0,1,0,-3,-3,0,0
heeft last van kalkaanslag,has a problem of scale,-3,-1,0,0,2,-1,-1,0,-3,-3,-2,0
heeft linten,has ribbons,-3,-3,-3,0,-3,-2,-1,0,-3,-3,-3,0
heeft meestal een oven,has an oven most of the time,-3,1,-2,1,3,-2,0,0,-3,-3,-1,0
