als ze klein zijn een big,when small piglet,-3,1,3,-2,0,-3,0,-3,-2,1,-3,-3
angstaanjagend,is terrifying,1,-3,-2,-3,0,-2,2,1,-2,1,-1,0
balkt,brays,-1,1,-1,-2,0,0,0,-3,-2,1,0,-3
bang dier,timid animal,2,-3,-2,-3,0,-1,0,0,-2,-1,-1,0
bedreigde diersoort,endangered species,1,3,-2,-3,0,2,2,-1,1,1,1,-1
bekend om het aanleggen van wintervoorraad,known laying in supplies for the winter,0,1,-1,-3,0,2,1,-3,-1,-1,0,-1
beschermde diersoort,protected species,1,2,-1,-3,0,-3,3,-2,1,2,-2,0
bijt,bites,1,0,-2,0,2,-3,1,-1,2,0,2,0
blaat,bleats,0,0,0,-3,0,1,0,-3,-2,1,-1,-3
blaft,barks,0,1,1,-2,0,-1,1,-3,-2,1,0,-3
bouwt dammen,builds dams,-3,-3,-1,-3,0,-2,1,-3,-2,1,-3,-3
brullen,roar,-1,-2,-3,-2,1,1,3,2,0,-1,0,-2
buideldier,marsupial,-1,1,1,-3,0,1,1,-1,-2,1,0,-3
dikke huid,thick skin,-1,-3,-1,-2,1,-2,1,-3,1,0,1,-1
draagt kind in buidel,carries its child in a pouch,0,2,0,-3,0,2,1,1,0,-1,-2,-3
drinkt water,drinks water,3,-1,1,2,3,-1,2,3,3,2,3,1
een varkensneus,pig nose,0,-2,1,-3,0,0,0,-3,-2,1,0,-3
eet alles,eats everything,0,1,-2,-2,1,-2,2,1,1,2,0,-1
eet bananen,eats bananas,1,1,1,-3,0,2,1,-3,-2,1,1,-3
eet bladeren van de bomen,eats leaves from trees,-1,1,-2,-1,0,0,1,-3,-1,0,1,-1
eet eikels,eats acorns,-2,0,-1,-3,-1,-1,0,-3,0,1,0,-3
eet graag wortelen,likes to eat carrots,0,1,1,-3,0,1,0,-1,-2,1,1,-3
eet graan,eats grain,1,1,1,-3,1,-2,0,-1,-2,0,-2,0
eet gras,eats grass,-1,1,1,-1,1,-2,0,-2,1,1,0,1
eet hooi,eats hay,-1,-2,1,-1,1,1,0,-3,-2,0,1,-1
eet insecten,eats insects,1,1,-2,-3,1,0,1,1,-1,1,0,-1
eet kaas,eats cheese,1,-2,-2,-3,0,1,1,-3,-2,1,-1,-3
eet kippen,eats chicken,2,-2,-1,-2,-2,-1,0,-3,-2,1,0,-3
eet nootjes,eats nuts,0,1,1,-3,0,2,0,-3,-2,1,0,-3
eet planten,eats plants,1,0,1,-1,1,1,0,-1,-2,1,1,1
eet vis,eats fish,2,0,-2,-3,0,-2,1,0,-2,-1,1,0
er zijn verschillende soorten,there are many kinds of it,3,-3,0,3,3,2,1,3,3,-1,3,3
familie van de hond,family of the dog,1,1,2,1,-1,1,1,-3,0,1,0,-2
familie van het paard,family of the horse,1,1,2,1,0,1,1,-3,-2,1,0,-2
familie van kameel,family of the camel,-1,1,2,-3,0,-1,0,-3,-2,0,0,-3
fladdert,flutters,0,-3,0,-3,-2,0,0,-3,-3,1,-3,-3
gebruikt als trekdier,used as a draught animal,0,2,1,-3,1,2,0,1,-1,1,0,-1
gebruikt in wedstrijden,is used in competitions,1,-3,0,-3,1,1,1,-2,-2,2,0,-3
geeft melk,gives milk,2,1,2,-2,0,1,1,1,-1,3,3,2
geel,yellow,-3,-3,-2,-2,0,-3,2,-3,-3,-2,0,-3
geel en zwart,is yellow and black,-1,-3,0,-1,0,-1,0,-3,-3,0,0,-3
geen vriendjes met honden,not friendly with dogs,-1,-3,0,-2,-1,-3,0,-3,-3,1,0,-3
geliefd bij kinderen,is popular among children,2,-3,0,-3,2,-1,0,1,3,1,2,1
gestreept,striped,0,-3,1,-3,0,0,0,-3,-1,0,0,-3
gevaarlijk,is dangerous,1,-2,-2,-3,1,1,2,2,1,-2,0,0
goed reukvermogen,good sense of smell,1,0,0,2,2,2,2,1,2,2,2,2
graaft holen,digs holes,-1,-3,-1,-3,-1,1,0,-3,-2,-1,2,-1
graast,grazes,0,1,1,2,1,0,0,-3,1,0,1,1
grijs,is grey,0,-3,-3,-3,0,-1,1,-3,-1,-2,1,-2
grijs-wit,grey-white,0,-3,-1,-3,1,-1,0,0,-2,-2,-1,-2
grote muil,has a big mouth,0,-3,-2,-1,1,1,1,-3,-2,-1,0,-1
grote neusgaten,large nostrils,0,-3,0,-3,1,-3,-1,-3,-3,1,-2,-2
grote oren,big ears,-2,-2,-1,-3,1,2,1,-2,0,1,0,-1
harig,hairy,2,3,0,2,1,2,1,2,2,-1,3,2
heeft 2 ogen,has two eyes,3,-3,0,3,3,2,2,3,2,3,3,3
heeft 2 oren,has two ears,3,-3,1,-3,3,-1,2,2,2,2,3,3
heeft Batman geïnspireerd,inspiration for Batman,0,-3,-3,-2,0,0,0,-3,-2,0,-2,-3
heeft benen,has legs,1,-3,2,-2,0,1,0,-3,1,0,3,-3
heeft bult om water in op te slaan,has a hump to store water,0,2,1,-3,0,-2,1,-2,-2,1,-2,-3
heeft dikke poten,has fat legs,-1,-3,-1,-1,0,0,1,-3,-1,-2,1,-2
heeft een bult,has a hunch,0,-2,1,-3,0,0,0,-3,-2,0,0,-3
heeft een gewei,has antlers,-1,0,1,-2,0,-3,1,-3,-2,1,-2,-2
heeft een hoorn,has a horn,-2,0,-3,-3,-2,0,1,-3,0,0,1,-3
heeft een klein staartje,has a small tail,-1,-3,-2,-3,1,0,0,0,-2,1,1,-1
heeft een lange nek,has a long neck,-1,0,-2,-3,0,0,0,-3,-2,0,1,-3
