,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9639"
aardappel,potato,5,5,4,5,4,4,4,4,5,3,5,5,5,4,5,5,5,4,4,4,5,5,4,5,5,3,4,5,4.464285714,0.63724772,28,,
ajuin,onions,3,4,3,5,4,4,4,4,4,4,3,5,5,5,4,4,5,3,3,4,4,5,4,5,4,4,4,5,4.107142857,0.685256682,28,,
asperges,asparagus,2,4,3,3,4,3,3,2,3,2,2,5,4,4,2,2,5,2,2,1,3,3,2,3,3,3,4,4,2.964285714,0.999338405,28,,
aubergine,eggplant,2,3,2,3,3,2,3,3,2,2,2,5,3,4,3,1,5,3,2,4,3,3,2,4,4,3,3,4,2.964285714,0.961562881,28,,
augurken,gherkins,2,4,2,3,4,3,3,2,3,2,3,4,3,4,4,2,4,3,2,1,3,4,3,4,3,3,4,4,3.071428571,0.857583661,28,,
biet,beet,2,3,2,3,3,2,3,2,2,2,2,4,3,3,2,2,3,2,2,1,3,3,2,3,3,3,3,4,2.571428571,0.690065559,28,,
bloemkool,cauliflower,3,4,4,5,4,3,4,3,4,2,3,5,5,4,3,4,5,4,4,3,4,5,3,4,4,4,4,5,3.892857143,0.785954749,28,,
bonen,beans,3,4,3,4,4,3,3,3,4,2,3,5,4,4,3,4,5,3,3,3,5,5,3,4,4,4,4,4,3.678571429,0.772373515,28,,
champignons,mushrooms,4,4,3,5,4,3,4,4,3,3,3,5,3,5,4,3,5,3,4,4,5,5,3,5,4,3,4,5,3.928571429,0.813250061,28,,
courgette,zucchini,2,3,2,4,4,3,3,2,3,2,4,4,3,4,3,2,5,3,2,4,4,3,3,3,4,4,4,3,3.214285714,0.832539304,28,,
erwten,peas,5,4,3,3,4,3,4,2,3,2,3,5,4,4,3,4,5,3,2,3,4,5,3,3,4,3,4,4,3.535714286,0.881166855,28,,
kervel,chervil,2,3,3,3,3,3,3,2,2,2,2,5,3,4,3,2,4,2,2,1,4,3,3,4,4,3,4,2,2.892857143,0.916486274,28,,
komkommer,cucumber,3,4,3,4,4,3,4,3,3,3,4,5,5,5,4,3,5,3,3,4,3,5,4,4,5,4,4,4,3.857142857,0.755928946,28,,
look,garlic,2,3,3,5,4,3,4,4,4,3,2,5,4,4,3,3,5,3,3,4,2,4,3,5,5,3,4,5,3.642857143,0.951189731,28,,
maïs,corn,2,4,2,3,4,3,3,3,3,2,2,4,3,4,2,2,5,3,3,2,4,4,2,4,3,4,4,4,3.142857143,0.890870806,28,,
paprika,pepper,3,4,3,4,4,4,4,3,3,3,3,5,5,5,2,3,5,4,3,4,4,4,3,5,4,4,4,4,3.785714286,0.786795792,28,,
peterselie,parsley,3,3,3,4,4,3,3,3,2,2,2,5,3,5,1,1,5,3,2,1,4,4,3,3,4,3,4,3,3.071428571,1.11980724,28,,
prei,leek,3,4,3,5,4,3,4,2,3,3,3,5,4,4,2,3,5,3,3,1,3,5,3,4,4,4,4,5,3.535714286,0.999338405,28,,
radijs,radish,2,4,2,4,4,3,3,2,3,2,3,4,3,4,2,1,5,3,2,1,3,3,2,3,3,4,3,4,2.928571429,0.978607152,28,,
rode kool,red cabbage,2,4,4,4,4,3,3,3,3,3,4,5,3,3,3,3,5,3,2,2,4,3,3,3,3,4,4,4,3.357142857,0.780042056,28,,
schorseneren,black salsify,2,4,2,3,3,2,2,1,2,2,2,5,3,3,1,1,4,2,2,1,3,2,2,3,3,3,4,2,2.464285714,0.999338405,28,,
selder,celery,2,4,3,4,4,3,3,2,2,2,3,5,3,4,2,2,5,2,3,2,4,4,3,3,4,4,3,4,3.178571429,0.944911183,28,,
sla,lettuce,5,4,4,5,4,4,4,5,4,3,4,4,5,5,4,4,5,4,4,3,5,5,4,5,4,4,4,5,4.285714286,0.599823607,28,,
spinazie,spinach,4,4,3,4,4,4,4,3,4,3,3,5,4,5,3,2,5,3,2,2,4,5,2,4,3,4,4,5,3.642857143,0.951189731,28,,
spruiten,Brussels sprouts,2,4,2,3,3,3,3,2,2,2,2,5,3,4,2,1,5,3,2,1,3,4,2,4,3,3,4,4,2.892857143,1.065947178,28,,
tomaat,tomato,5,4,3,5,4,4,4,5,3,3,4,5,5,5,4,3,5,4,4,4,5,5,4,5,5,4,4,5,4.285714286,0.712696645,28,,
waterkers,water cress,2,4,3,5,4,3,3,2,2,2,2,4,3,3,2,1,3,2,2,1,4,2,2,4,4,3,3,2,2.75,1.004618962,28,,
witloof,endive,2,4,3,4,4,3,4,4,2,2,4,5,5,5,2,2,5,3,3,1,3,3,3,4,4,3,4,4,3.392857143,1.065947178,28,,
witte kool,white cabbage,2,3,2,3,4,3,4,2,4,2,3,5,4,4,2,2,4,3,2,1,4,5,2,3,3,4,4,4,3.142857143,1.044005311,28,,
wortel,carrot,3,4,4,5,4,4,4,4,5,2,4,5,5,5,4,3,5,3,4,4,5,5,4,4,4,5,4,5,4.178571429,0.772373515,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
