,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9375"
bazooka,bazooka,3,3,3,1,2,2,3,2,3,1,2,2,2,4,3,4,2,2,2,2,2,3,2,2,1,2,2,4,2.357142857,0.826159599,28,,
bijl,axe,3,3,3,2,3,2,2,4,3,3,2,2,3,4,3,2,3,2,3,3,3,3,3,2,1,3,3,4,2.75,0.700528901,28,,
boksbeugel,knuckle dusters,1,4,2,2,3,2,2,4,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,2,4,4,2.285714286,0.854493259,28,,
boog,bow,2,2,2,2,3,2,2,3,3,4,2,2,3,4,2,4,3,3,3,3,2,3,2,2,1,3,3,4,2.642857143,0.780042056,28,,
dolk,dagger,3,2,3,2,2,2,2,2,3,3,2,2,3,3,2,4,3,2,3,3,3,3,2,2,4,3,2,4,2.642857143,0.678466993,28,,
geweer,rifle,3,3,4,3,4,3,3,4,3,4,3,4,4,5,3,4,3,2,3,4,3,3,3,3,1,3,4,4,3.321428571,0.772373515,28,,
granaat,grenade,3,3,3,2,3,2,2,3,3,3,2,2,3,4,3,3,3,2,3,4,2,3,2,2,1,3,3,4,2.714285714,0.712696645,28,,
kanon,canon,3,3,2,1,3,3,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,2,2,1,3,3,4,2.75,0.700528901,28,,
katapult,slingshot,2,2,4,1,3,3,3,2,3,3,2,4,4,3,2,2,3,2,3,3,3,3,2,2,1,3,2,4,2.642857143,0.826159599,28,,
knuppel,club,2,3,4,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,2,3,2,3,1,3,3,4,2.5,0.693888666,28,,
mitraillette,machine gun,2,5,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,3,3,2,3,1,3,2,5,2.464285714,0.881166855,28,,
pistool,pistol,3,3,4,3,3,3,2,4,3,3,2,3,4,4,3,4,3,2,3,4,3,3,3,3,2,4,4,5,3.214285714,0.738223235,28,,
schild,shield,3,3,3,4,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,2,2,1,3,3,4,2.678571429,0.669636243,28,,
speer,spear,3,3,2,1,2,2,2,2,3,3,2,2,3,3,2,4,2,3,3,3,2,3,2,2,1,3,2,4,2.464285714,0.744468135,28,,
stok,stick,4,3,5,4,4,3,4,4,3,5,4,4,4,5,4,3,3,4,4,4,4,3,3,3,2,4,4,5,3.785714286,0.738223235,28,,
tank,tank,2,3,2,4,3,2,3,2,3,3,3,2,2,2,3,4,3,2,3,4,3,3,2,2,1,3,4,4,2.75,0.799305254,28,,
touw,rope,4,3,4,4,4,3,4,5,3,5,3,5,4,5,2,3,4,4,3,4,4,3,3,2,2,4,4,5,3.678571429,0.904866326,28,,
tweeloop,double barreled shotgun,1,4,2,2,2,2,1,2,2,3,2,2,2,3,3,3,2,2,2,2,3,3,2,1,1,2,2,4,2.214285714,0.786795792,28,,
zwaard,sword,3,3,3,3,4,2,2,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,2,2,1,3,4,4,2.928571429,0.71639899,28,,
zweep,whip,4,2,4,3,3,2,3,4,3,3,2,2,3,2,2,2,3,2,3,3,4,3,2,2,3,3,3,4,2.821428571,0.722832465,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
