,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,,
beha,bra,50,6.6,0.007,0.000,,,,,,,,,,,,,,,,,,,,
bloes,blouse,55,5,0.037,0.000,,,,,,,,,,,,,,,,,,,,
broek,pants,116,2.5,0.041,0.104,,,,,,,,,,,,,,,,,,,,
das,tie,12,7.4,0.007,0.007,,,,,,,,,,,,,,,,,,,,
hemd,shirt,66,5.7,0.026,0.022,,,,,,,,,,,,,,,,,,,,
hoed,hat,15,7.5,0.007,0.011,,,,,,,,,,,,,,,,,,,,
jas,coat,55,4.8,0.015,0.015,,,,,,,,,,,,,,,,,,,,
jeans,jeans,8,6.4,0.030,0.019,,,,,,,,,,,,,,,,,,,,
jogging,tracksuit,1,10,0.003,0.000,,,,,,,,,,,,,,,,,,,,
kleed,dress,22,5.4,0.026,0.004,,,,,,,,,,,,,,,,,,,,
kostuum,suit,4,7.8,0.007,0.004,,,,,,,,,,,,,,,,,,,,
laarzen,boots,1,11,0.000,0.000,,,,,,,,,,,,,,,,,,,,
muts,beanie,18,7.9,0.004,0.004,,,,,,,,,,,,,,,,,,,,
pet,cap,5,7,0.000,0.000,,,,,,,,,,,,,,,,,,,,
pyjama,pyjamas,5,7.4,0.007,0.000,,,,,,,,,,,,,,,,,,,,
riem,belt,7,7.3,0.015,0.000,,,,,,,,,,,,,,,,,,,,
rok,skirt,79,3.3,0.020,0.041,,,,,,,,,,,,,,,,,,,,
salopet,dungarees,2,6.5,0.041,0.000,,,,,,,,,,,,,,,,,,,,
schoenen,shoes,35,5.9,0.015,0.030,,,,,,,,,,,,,,,,,,,,
short,shorts,18,6.5,0.018,0.000,,,,,,,,,,,,,,,,,,,,
sjaal,scarf,41,6.3,0.011,0.011,,,,,,,,,,,,,,,,,,,,
slip,panties,7,5.1,0.007,0.000,,,,,,,,,,,,,,,,,,,,
sokken,socks,42,5.6,0.015,0.004,,,,,,,,,,,,,,,,,,,,
sweater,sweater,7,8.3,0.026,0.000,,,,,,,,,,,,,,,,,,,,
t-shirt,t-shirt,76,5.5,0.011,0.000,,,,,,,,,,,,,,,,,,,,
topje,top,10,7,0.022,0.052,,,,,,,,,,,,,,,,,,,,
trui,pullover,70,3.3,0.056,0.022,,,,,,,,,,,,,,,,,,,,
wanten,mittens,4,8.5,0.004,0.000,,,,,,,,,,,,,,,,,,,,
zwempak,bathing suit,2,8.5,0.000,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
