,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,,,,
ansjovis,anchovy,3,6.666666667,0.120,0.000,,,,,,,,,,,,,,,,,,,,,
dolfijn,dolphin,13,3.769230769,0.037,0.007,,,,,,,,,,,,,,,,,,,,,
forel,trout,47,2.936170213,0.285,0.004,,,,,,,,,,,,,,,,,,,,,
goudvis,goldfish,74,2.972972973,0.011,0.007,,,,,,,,,,,,,,,,,,,,,
haai,shark,45,3.622222222,0.056,0.007,,,,,,,,,,,,,,,,,,,,,
haring,herring,23,3.652173913,0.237,0.004,,,,,,,,,,,,,,,,,,,,,
inktvis,squid,10,4,0.022,0.000,,,,,,,,,,,,,,,,,,,,,
kabeljauw,cod,68,2.955882353,0.307,0.015,,,,,,,,,,,,,,,,,,,,,
karper,carp,25,3.24,0.315,0.004,,,,,,,,,,,,,,,,,,,,,
orka,orca,5,7.6,0.070,0.004,,,,,,,,,,,,,,,,,,,,,
paling,eel,32,4.28125,0.184,0.000,,,,,,,,,,,,,,,,,,,,,
piranha,piranha,5,5.8,0.200,0.000,,,,,,,,,,,,,,,,,,,,,
pladijs,plaice,14,3.785714286,0.268,0.000,,,,,,,,,,,,,,,,,,,,,
platvis,flatfish,8,5.625,0.049,0.000,,,,,,,,,,,,,,,,,,,,,
potvis,sperm whale,4,3.75,0.045,0.000,,,,,,,,,,,,,,,,,,,,,
rog,ray,13,4.333333333,0.243,0.004,,,,,,,,,,,,,,,,,,,,,
sardine,sardine,14,5.642857143,0.219,0.000,,,,,,,,,,,,,,,,,,,,,
snoek,pike,22,3.363636364,0.296,0.000,,,,,,,,,,,,,,,,,,,,,
stekelbaars,stickleback,7,5.285714286,0.270,0.000,,,,,,,,,,,,,,,,,,,,,
tong,sole,36,4.333333333,0.056,0.007,,,,,,,,,,,,,,,,,,,,,
walvis,whale,16,3.6875,0.027,0.004,,,,,,,,,,,,,,,,,,,,,
zalm,salmon,82,3.317073171,0.252,0.022,,,,,,,,,,,,,,,,,,,,,
zwaardvis,swordfish,7,4.857142857,0.044,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
