,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,
accordeon,accordion,6,4.333333333,0.030,0.004,,,,,,,,,,,,,,,,,,
banjo,banjo,3,4.666666667,0.060,0.000,,,,,,,,,,,,,,,,,,
basgitaar,bass guitar,19,5.368421053,0.026,0.000,,,,,,,,,,,,,,,,,,
cello,cello,35,5.4,0.059,0.007,,,,,,,,,,,,,,,,,,
cimbalen,cymbals,4,6.5,0.034,0.000,,,,,,,,,,,,,,,,,,
contrabas,double bass,25,6,0.074,0.000,,,,,,,,,,,,,,,,,,
doedelzak,bagpipe,4,5.75,0.037,0.000,,,,,,,,,,,,,,,,,,
drumstel,drum set,62,5.419354839,0.000,0.000,,,,,,,,,,,,,,,,,,
dwarsfluit,flute,65,4.769230769,0.041,0.022,,,,,,,,,,,,,,,,,,
fagot,bassoon,6,8.333333333,0.163,0.000,,,,,,,,,,,,,,,,,,
fluit,flute,43,4.023255814,0.026,0.033,,,,,,,,,,,,,,,,,,
gitaar,guitar,107,3.093457944,0.030,0.156,,,,,,,,,,,,,,,,,,
harp,harp,26,5.230769231,0.067,0.000,,,,,,,,,,,,,,,,,,
klarinet,clarinet,34,5.382352941,0.115,0.011,,,,,,,,,,,,,,,,,,
klavecimbel,harpsichord,10,5.9,0.085,0.000,,,,,,,,,,,,,,,,,,
mondharmonica,harmonica,6,7,0.081,0.004,,,,,,,,,,,,,,,,,,
orgel,organ,9,4,0.015,0.000,,,,,,,,,,,,,,,,,,
panfluit,pan flute,6,5.5,0.041,0.000,,,,,,,,,,,,,,,,,,
piano,piano,97,2.762886598,0.019,0.159,,,,,,,,,,,,,,,,,,
saxofoon,saxophone,44,4.181818182,0.052,0.026,,,,,,,,,,,,,,,,,,
synthesizer,synthesizer,5,4.6,0.019,0.000,,,,,,,,,,,,,,,,,,
tamboerijn,tambourine,2,9,0.041,0.004,,,,,,,,,,,,,,,,,,
triangel,triangle,6,5.333333333,0.056,0.000,,,,,,,,,,,,,,,,,,
trombone,trombone,9,6.555555556,0.090,0.000,,,,,,,,,,,,,,,,,,
trommel,drum,13,5.615384615,0.011,0.007,,,,,,,,,,,,,,,,,,
trompet,trumpet,53,5.188679245,0.052,0.026,,,,,,,,,,,,,,,,,,
viool,violin,82,3.353658537,0.052,0.070,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
