,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,
auto,car,119,1.369747899,0.037,0.304,,,,,,,,,,,,,,,,,,
boot,boat,53,5.905660377,0.007,0.007,,,,,,,,,,,,,,,,,,
bromfiets,scooter,16,5.3125,0.015,0.000,,,,,,,,,,,,,,,,,,
brommer,motorbike,38,4.184210526,0.015,0.022,,,,,,,,,,,,,,,,,,
bus,bus,94,4.095744681,0.037,0.067,,,,,,,,,,,,,,,,,,
camion,truck,12,6.083333333,0.048,0.004,,,,,,,,,,,,,,,,,,
camionette,van,7,5.5,0.052,0.000,,,,,,,,,,,,,,,,,,
caravan,trailer ,4,5.25,0.000,0.000,,,,,,,,,,,,,,,,,,
duikboot,submarine,1,4,0.000,0.000,,,,,,,,,,,,,,,,,,
fiets,bicycle,103,3.194174757,0.019,0.100,,,,,,,,,,,,,,,,,,
gocart,go-cart,4,6.5,0.007,0.000,,,,,,,,,,,,,,,,,,
helikopter,helicopter,15,7,0.011,0.000,,,,,,,,,,,,,,,,,,
hovercraft,hovercraft,1,6,0.015,0.000,,,,,,,,,,,,,,,,,,
jeep,jeep,6,7.5,0.007,0.000,,,,,,,,,,,,,,,,,,
kar,cart,13,5.307692308,0.033,0.007,,,,,,,,,,,,,,,,,,
koets,carriage,7,5.285714286,0.011,0.000,,,,,,,,,,,,,,,,,,
luchtballon,(hot air) balloon,3,6.333333333,0.000,0.000,,,,,,,,,,,,,,,,,,
metrostel,subway train,18,6.888888889,0.011,0.000,,,,,,,,,,,,,,,,,,
moto,motorbike,26,5.192307692,0.019,0.004,,,,,,,,,,,,,,,,,,
raket,rocket,4,5,0.000,0.000,,,,,,,,,,,,,,,,,,
skateboard,skateboard,5,5.6,0.000,0.000,,,,,,,,,,,,,,,,,,
slede,sled,2,5,0.000,0.000,,,,,,,,,,,,,,,,,,
step,kick scooter,33,6.75,0.010,0.000,,,,,,,,,,,,,,,,,,
taxi,taxi,9,4.777777778,0.037,0.004,,,,,,,,,,,,,,,,,,
tractor,tractor,3,6.666666667,0.004,0.000,,,,,,,,,,,,,,,,,,
tram,tram,64,5.953125,0.044,0.004,,,,,,,,,,,,,,,,,,
trein,train,90,4.633333333,0.019,0.048,,,,,,,,,,,,,,,,,,
vliegtuig,airplane,69,4.927536232,0.004,0.063,,,,,,,,,,,,,,,,,,
vrachtwagen,truck,37,5.216216216,0.052,0.004,,,,,,,,,,,,,,,,,,
zeppelin,Zeppelin,2,8,0.000,0.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,
