arend,eagle,16,28,9,10,10,10,6,1,9,1,12,20,19,16,17,15,13,13,13,17
duif,dove,4,2,5,3,8,5,11,5,1,22,8,10,3,3,3,2,8,7,5,11
eend,duck,17,27,17,25,25,25,17,24,26,23,17,16,6,25,22,27,28,23,8,19
ekster,magpie,25,4,11,4,4,15,12,3,4,12,2,9,20,5,7,13,4,10,2,5
fazant,pheasant,26,21,13,19,21,24,24,23,28,24,20,22,17,21,23,16,21,25,15,24
gier,vulture,22,13,26,20,13,18,20,6,17,2,14,21,24,15,19,20,14,19,29,18
haan,rooster,9,19,25,30,22,14,27,29,22,25,26,26,29,23,25,23,23,27,10,13
kalkoen,turkey,21,23,15,21,24,19,26,28,23,27,25,27,26,24,28,24,24,26,23,14
kanarie,canary,2,14,7,24,16,7,19,18,14,20,6,13,9,12,2,3,10,2,12,21
kip,chicken,8,20,24,17,23,13,23,27,21,26,27,25,5,22,26,22,22,28,9,12
koekoek,cuckoo,15,16,10,27,7,23,5,9,11,15,15,12,13,14,13,17,18,10,21,10
kraai,crow,14,15,19,11,6,11,4,10,13,9,11,6,10,10,11,6,6,17,7,6
mees,chickadee,1,8,-1,12,1,9,8,14,6,17,28,4,12,8,4,5,3,3,22,2
meeuw,seagull,11,12,6,5,14,6,13,2,5,10,7,8,4,7,12,12,17,8,11,8
merel,blackbird,3,17,4,15,2,4,7,7,10,14,1,2,2,2,6,10,9,4,3,3
mus,sparrow,5,1,2,1,5,1,9,4,3,18,4,1,1,1,1,1,1,1,1,1
ooievaar,stork,28,18,13,24,19,22,22,16,30,6,22,19,15,17,16,18,19,15,26,25
papegaai,parrot,23,11,22,6,28,28,10,22,25,19,9,17,8,18,21,15,20,16,16,28
parkiet,parakeet,10,3,12,16,15,3,18,17,20,21,10,11,7,11,8,11,15,5,25,22
pauw,peacock,24,22,23,18,29,17,28,19,24,28,21,28,25,28,24,26,26,18,14,23
pelikaan,pelican,29,29,18,28,20,26,29,12,15,5,24,24,28,27,20,21,27,21,20,27
pinguïn,penguin,30,30,28,26,30,30,30,30,29,29,30,30,30,30,29,29,30,30,30,30
reiger,heron,27,10,14,14,18,21,14,21,8,7,18,18,16,13,15,19,15,12,27,16
roodborstje,robin,6,9,3,2,3,2,3,11,19,16,5,3,11,4,5,7,2,6,4,4
specht,woodpecker,7,5,16,7,9,11,2,20,7,11,16,7,18,9,10,8,7,11,24,7
struisvogel,ostrich,20,26,27,22,27,29,25,26,18,30,29,29,27,29,30,25,25,29,28,24
uil,owl,12,24,20,8,17,20,16,8,12,3,19,14,21,19,14,14,11,22,17,15
valk,falcon,19,6,8,9,12,12,1,15,16,4,13,15,22,20,18,9,12,14,19,16
zwaan,swan,18,25,21,23,26,27,21,25,27,8,23,23,23,26,27,28,29,24,18,20
zwaluw,swallow,13,7,1,13,11,8,15,13,2,13,3,5,14,6,9,4,5,9,6,9
