beha,bra,25,25,12,2,24,28,13,20,12,28,24,20,22,22,22,4,20,20,15,19
bloes,blouse,13,7,4,4,4,19,11,8,30,13,5,7,2,5,3,15,7,10,14,9
broek,pants,6,1,11,7,9,2,3,7,11,2,1,2,23,12,11,1,1,1,3,1
das,tie,5,28,25,21,19,21,25,24,10,19,21,21,21,15,19,23,17,24,21,27
hemd,shirt,8,3,8,17,7,8,6,5,2,1,8,4,11,10,8,5,11,5,8,8
hoed,hat,19,22,22,20,14,16,27,26,25,23,29,27,17,19,26,27,21,22,27,24
jas,coat,20,10,3,26,2,17,12,17,16,20,11,24,15,6,10,16,3,13,5,6
jeans,jeans,4,12,14,5,1,10,4,10,1,4,4,10,3,3,1,12,10,3,4,11
jogging,tracksuit,12,6,15,10,11,12,17,16,7,27,12,15,14,13,14,20,15,12,19,16
kleed,dress,3,11,13,28,15,4,9,3,29,10,9,9,9,2,6,11,4,6,11,5
kostuum,suit,9,15,1,14,10,11,18,1,6,25,13,14,10,1,5,3,9,29,12,15
laarzen,boots,23,23,20,10,20,22,28,27,9,18,20,17,19,28,18,24,28,16,22,28
muts,beanie,21,20,30,20,16,20,26,25,20,15,27,22,26,26,-1,29,24,21,24,23
pet,cap,29,18,24,22,25,25,24,23,22,24,28,29,18,20,24,28,23,23,26,26
pyjama,pyjamas,14,19,10,13,17,13,15,11,8,29,15,16,13,16,12,29,18,18,20,17
riem,belt,27,24,28,8,27,29,21,22,14,22,23,25,28,18,27,17,29,27,29,21
rok,skirt,1,2,6,1,13,5,7,4,5,17,6,12,5,8,2,9,8,7,6,4
salopet,dungarees,18,21,19,18,-1,18,16,12,15,16,10,26,12,-1,15,25,16,28,18,13
schoenen,shoes,15,26,26,24,23,27,23,29,3,6,19,8,7,24,16,6,25,14,10,12
short,shorts,17,8,5,15,8,6,8,9,17,8,14,3,24,11,7,10,14,11,7,10
sjaal,scarf,26,17,29,23,26,24,22,21,13,11,25,19,20,27,23,22,26,17,23,22
slip,panties,28,27,23,6,18,15,14,19,18,9,26,18,25,21,21,2,19,19,16,18
sokken,socks,24,14,7,18,22,23,19,15,27,7,17,11,27,23,20,7,13,15,13,20
sweater,sweater,10,5,17,9,6,9,5,2,4,21,7,6,6,4,4,14,5,9,9,14
t-shirt,t-shirt,11,4,18,3,12,7,10,14,18,3,18,13,4,14,13,18,12,2,17,7
topje,top,7,16,9,11,5,3,1,6,21,5,3,5,8,9,17,13,2,8,2,2
trui,pullover,2,9,2,12,3,1,2,13,23,26,2,1,1,7,9,8,6,4,1,3
wanten,mittens,22,29,21,25,21,26,29,18,24,12,22,23,29,25,28,26,27,26,25,25
zwempak,bathing suit,16,13,16,27,28,14,20,28,26,17,16,28,16,17,25,21,22,25,28,29
