aalbes,red currant,-1,-1,27,30,23,26,22,8,-1,1,29,18,15,25,22,14,24,24,23,20
aardbei,strawberry,2,7,8,20,4,5,4,12,1,2,16,10,6,6,6,7,6,5,8,14
abrikoos,apricot,11,20,16,21,21,8,25,9,26,3,22,8,7,9,17,20,10,18,26,13
ananas,pineapple,13,12,15,9,3,6,15,15,5,4,10,17,8,13,14,19,12,12,20,10
appel,apple,1,1,1,1,1,1,5,1,2,5,1,2,1,1,1,1,1,1,1,1
banaan,banana,3,2,3,4,7,2,3,13,3,6,3,1,3,3,3,4,2,2,4,4
bosbes,blueberry,16,23,19,29,18,27,12,24,18,7,23,25,13,23,20,16,21,27,22,18
braambessen,blackberry,14,17,20,22,11,23,11,14,20,8,22,17,14,24,21,18,22,23,21,19
citroen,lemon,5,4,12,6,8,19,21,28,6,9,30,27,10,8,11,17,13,28,11,5
clementine,mandarine,26,21,11,10,14,9,-1,7,9,10,14,14,11,20,13,12,7,19,13,15
dadels,dates,24,22,29,16,25,28,27,27,25,17,28,26,-1,28,28,25,25,25,27,28
druif,grape,6,3,5,5,10,21,8,17,13,28,7,12,4,10,10,9,16,9,5,6
framboos,raspberry,15,9,18,23,16,18,19,19,15,30,25,21,12,21,15,10,20,15,7,17
kers,cherry,12,5,7,18,11,7,9,6,10,22,15,6,16,15,7,5,18,6,10,16
kiwi,kiwi,9,8,17,7,6,22,10,21,7,20,4,4,5,11,4,21,8,10,3,22
kokosnoot,coconut,21,19,28,13,11,20,24,20,8,19,8,23,24,30,29,24,29,21,30,26
limoen,lime,18,24,26,11,22,14,20,25,22,15,26,28,22,16,23,29,14,29,17,21
lychee,lychee,29,28,25,29,28,25,-1,10,27,26,12,29,-1,26,24,28,28,20,16,27
mango,mango,22,26,24,14,20,15,18,-1,12,12,6,11,20,18,18,22,17,8,14,23
meloen,melon,20,18,13,10,9,17,14,4,16,13,13,3,19,14,9,13,15,13,15,12
nectarine,nectarine,7,25,10,8,12,11,-1,5,19,27,18,15,17,7,12,11,11,17,14,8
papaya,papaya,27,-1,23,28,-1,30,26,26,-1,16,11,19,-1,22,26,27,26,26,25,25
passievrucht,passion fruit,23,16,21,15,19,12,23,23,11,23,9,7,-1,19,25,23,19,16,21,24
peer,pear,4,6,2,2,5,4,1,2,21,18,2,5,2,2,2,2,3,3,2,2
perzik,peach,17,11,6,12,24,13,13,-1,17,14,17,9,18,5,16,8,9,7,19,7
pompelmoes,grapefruit,19,10,14,24,15,16,17,3,14,22,24,22,21,17,8,15,27,14,28,11
pompoen,pumpkin,10,15,22,27,28,29,16,11,9,17,21,20,25,29,30,30,30,30,28,30
pruim,plum,25,13,9,5,13,10,7,18,23,27,19,30,23,12,19,6,5,11,6,9
sinaasappel,orange,8,14,4,3,2,3,2,16,4,24,5,16,9,4,5,3,4,4,9,3
vijg,fig,28,27,30,25,27,24,28,22,24,25,20,24,-1,27,27,26,23,22,29,29
