adder,viper,2,6,12,2,11,2,6,2,22,8,14,5,7,7,4,11,6,6,14,10
alligator,alligator,14,17,2,13,15,13,14,5,15,9,3,8,4,9,16,8,9,13,9,8
boa,boa,17,22,3,12,6,12,11,12,12,14,13,7,10,11,5,13,5,5,17,11
cobra,cobra,19,20,1,9,19,6,18,17,10,11,12,6,11,12,3,10,7,7,18,12
dinosaurus,dinosaur,13,3,4,7,5,11,4,3,13,6,15,19,17,17,22,16,17,20,11,18
gekko,gecko,11,19,16,6,2,20,1,18,11,20,8,12,8,8,10,6,15,3,6,17
hagedis,lizard,12,4,13,8,1,3,3,16,6,5,2,4,1,2,2,1,2,2,1,2
hazelworm,blindworm,-1,21,-1,16,18,-1,20,-1,14,-1,21,20,22,14,13,21,18,10,15,-1
kaaiman,caiman,16,10,11,1,16,21,12,13,21,12,9,10,12,15,17,3,8,17,8,-1
kameleon,chameleon,7,11,17,10,3,16,7,15,19,16,6,14,13,10,14,15,14,8,3,14
kikker,frog,8,1,15,14,12,16,8,7,4,2,18,-1,20,22,21,19,21,22,22,3
krokodil,crocodile,1,7,10,15,7,1,17,1,7,1,1,3,2,3,15,2,3,9,7,7
leguaan,iguana,18,13,19,11,8,5,2,4,8,18,4,17,14,5,8,9,10,11,2,16
pad,toad,5,12,7,20,13,9,9,8,5,13,19,11,21,21,20,18,22,21,21,4
python,python,4,16,6,4,9,15,15,19,16,10,11,9,9,13,6,14,4,4,16,13
salamander,salamander,10,2,14,5,4,19,13,14,2,7,17,1,19,20,12,20,11,18,4,9
schildpad,tortoise,9,8,8,18,14,10,10,6,3,3,7,18,5,4,18,4,12,16,19,5
slang,snake,3,5,5,3,10,17,5,11,1,4,10,2,3,1,1,12,1,1,13,1
varaan,monitor lizard,15,14,20,-1,-1,4,21,10,9,17,5,16,15,6,9,7,16,12,3,15
waterschildpad,turtle,6,9,9,17,17,7,16,20,17,15,20,21,6,16,19,5,13,15,20,6
