badminton,badminton,26,9,6,6,11,17,13,10,14,20,19,16,9,10,10,8,12,21,11,7
ballet,ballet,25,28,26,24,23,21,23,30,26,27,26,21,23,27,24,25,14,25,26,22
baseball,baseball,9,12,5,12,9,10,10,16,16,23,9,14,5,17,13,11,20,8,13,11
basketbal,basketball,2,2,1,7,6,4,5,3,8,3,7,8,1,2,6,7,7,2,5,2
biljarten,billiards,18,26,27,27,27,29,22,29,23,25,27,28,29,28,29,28,28,27,28,28
boksen,boxing,13,10,4,20,10,3,19,11,11,13,15,9,15,25,15,17,23,16,20,19
golf,golfing,21,23,21,21,23,24,24,26,21,24,25,30,27,24,23,26,27,24,22,26
handbal,handball,6,4,11,10,14,1,6,17,13,5,10,13,10,8,11,15,11,9,12,9
hardlopen,running,5,11,17,1,1,6,8,6,1,6,24,1,11,5,1,1,1,13,8,4
ijshockey,ice hockey,16,19,13,19,15,19,14,22,15,12,14,6,7,15,16,18,17,6,10,18
judo,judo,12,20,16,22,19,11,12,17,17,14,5,10,22,12,8,14,15,15,14,20
kogelstoten,shot-put,14,15,19,16,21,26,-1,24,22,26,16,3,16,19,19,20,21,14,24,16
paardrijden,horseback riding,20,17,22,13,24,25,20,12,27,22,20,24,28,22,25,24,26,23,21,23
rugby,rugby,7,13,15,2,8,9,11,7,6,8,8,5,3,11,14,13,10,7,9,12
schaken,chess,24,25,29,28,30,30,25,28,30,28,28,29,30,29,30,30,29,29,30,29
schermen,fencing,23,29,23,25,22,23,17,25,24,18,18,11,14,21,22,22,19,22,23,21
skiën,skiing,11,21,25,11,18,12,15,8,12,15,17,18,21,16,24,12,24,18,6,13
sportvissen,sport fishing,29,22,30,29,29,27,26,27,29,-1,29,27,25,30,27,29,30,28,29,27
squash,squash,15,18,12,8,13,18,7,18,18,11,11,19,8,9,9,9,13,17,17,8
surfen,surfing,27,30,18,4,12,16,18,17,19,10,12,23,18,20,18,21,22,19,16,17
tafeltennis,table tennis,30,16,3,20,26,20,15,20,20,19,13,22,20,13,20,16,16,10,15,17
tennis,tennis,4,6,9,4,4,7,4,5,9,4,6,15,4,4,12,4,5,4,4,5
turnen,gymnastics,22,3,24,17,17,13,12,23,4,17,3,20,19,14,7,10,6,20,19,15
verspringen,long jump,17,14,20,18,16,14,11,15,7,18,21,2,17,18,17,19,18,12,27,14
voetbal,soccer,1,1,7,5,5,2,1,1,5,1,1,7,2,1,3,3,2,1,1,1
volleybal,volleyball,8,7,8,9,7,8,3,2,10,9,4,12,6,3,5,5,8,3,7,3
wandelen,walking,28,27,28,26,28,28,21,19,28,29,30,26,24,26,28,27,9,30,18,25
wielrennen,cycling,3,8,14,15,3,15,9,4,2,7,23,4,13,7,2,2,4,5,2,10
zeilen,sailing,10,24,22,23,20,22,16,27,25,21,22,25,26,23,26,23,25,26,25,24
zwemmen,swimming,19,5,10,3,2,5,2,9,3,2,2,17,12,6,4,6,3,11,3,6
