,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
beha,bra,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,,,,,,,,0,31,6.55,0.89
bloes,blouse,3,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,5,5,5,4,7,5,7,6,7,5,6,,,,,,,,,0,30,5.67,1.12
broek,pants,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,7,7,7,7,6,6,6,7,7,,,0,36,6.44,0.88
das,tie,4,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,2,6,7,7,4,7,7,6,3,7,5,7,,,,0,35,6.00,1.35
hemd,shirt,3,3,4,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,2,7,,,,,0,34,6.18,1.34
hoed,hat,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,5,6,3,7,7,6,,,,,0,34,6.32,0.91
jas,coat,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,5,7,7,7,6,7,5,6,7,,0,37,6.46,0.80
jeans,jeans,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,0,30,6.80,0.48
jogging,tracksuit,2,3,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,4,3,7,7,5,6,5,7,7,6,5,4,6,7,,,,,,,0,32,5.81,1.49
kleed,dress,2,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,6,7,7,6,7,5,5,1,6,6,,,,0,35,5.83,1.38
kostuum,suit,4,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,,,,,,,,,,0,29,6.38,0.98
laarzen,boots,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,7,7,6,6,7,4,6,,,,,,,,0,31,6.39,0.99
muts,beanie,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,5,7,6,,,,,,,,,,0,29,6.52,0.87
pet,cap,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,4,6,6,6,7,6,6,6,7,7,6,7,,,,0,35,6.34,0.80
pyjama,pyjamas,3,3,4,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,5,6,7,6,7,6,5,7,7,,,,,,0,33,6.00,1.25
riem,belt,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,7,3,6,7,7,,,,,,,,,,,,0,27,6.48,1.09
rok,skirt,4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,6,7,7,5,3,7,7,6,7,7,5,,,,,,0,33,6.27,1.10
salopet,dungarees,1,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,3,6,6,7,7,7,2,3,7,3,7,7,7,,,,,,,,,0,30,5.50,1.80
schoenen,shoes,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,6,5,5,7,7,,,,,,0,33,6.52,0.80
short,shorts,3,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,4,4,6,7,7,7,7,6,6,7,,,,,,,,,,,,,0,26,6.12,1.18
sjaal,scarf,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,4,5,7,2,7,6,7,7,7,,,,,,,0,32,6.31,1.12
slip,panties,2,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,5,6,6,6,7,7,7,7,7,6,6,7,5,7,1,7,5,,,,,,0,33,6.03,1.42
sokken,socks,3,4,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,2,7,7,7,7,,,,,0,34,6.29,1.19
sweater,sweater,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,7,7,7,7,7,7,7,7,7,3,7,7,,,,,,0,33,6.55,0.87
t-shirt,t-shirt,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,,,,,0,34,6.62,0.70
topje,top,3,5,5,6,6,7,7,7,7,7,7,6,7,5,7,4,5,6,2,7,5,6,4,6,7,6,7,,,,,,,,,,,,0,27,5.81,1.36
trui,pullover,4,4,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,,,,,,,,,0,30,6.43,0.86
wanten,mittens,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,2,7,5,7,7,7,7,7,,,,,,,,,0,30,6.50,1.07
zwempak,bathing suit,3,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,7,7,6,5,7,6,7,7,2,7,6,,,,0,35,6.06,1.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
