,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
ansjovis,anchovy,2,2,2,3,3,3,3,3,4,4,5,5,5,5,6,6,7,7,6,2,3,4,7,5,6,5,5,5,2,1,2,,,,,,,,0,31,4.13,1.73
dolfijn,dolphin,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,7,7,7,7,7,7,7,,,,,,,0,32,6.50,0.92
forel,trout,2,3,3,3,3,4,4,4,4,5,5,5,5,5,7,5,4,5,7,7,7,7,7,X,7,3,7,5,5,7,7,6,,,,,,,1,31,5.10,1.58
goudvis,goldfish,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,6,5,6,7,6,7,7,7,5,,0,37,6.54,0.69
haai,shark,3,4,4,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,X,X,7,7,6,7,7,7,6,4,7,6,6,,,,,,,,2,29,6.14,1.13
haring,herring,1,2,2,2,2,2,3,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,X,3,5,4,6,6,7,3,5,2,2,1,,,,1,34,4.41,1.97
inktvis,squid,3,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7,5,7,7,7,7,7,,,,,,,,0,31,6.48,0.93
kabeljauw,cod,1,1,2,3,3,3,4,4,4,5,5,5,6,7,7,7,7,3,5,7,6,7,5,7,5,7,5,5,4,1,1,,,,,,,,0,31,4.58,2.01
karper,carp,1,1,2,3,3,3,4,4,4,5,5,5,6,7,7,7,7,3,5,7,6,7,5,7,5,7,5,5,4,1,1,,,,,,,,0,31,4.58,2.01
orka,orca,2,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,5,6,7,5,7,7,7,6,6,7,,,,,,,,0,31,6.26,1.18
paling,eel,1,2,2,2,2,3,3,3,3,4,4,5,5,5,5,6,7,7,7,7,7,7,7,2,3,3,7,7,5,7,7,2,,,,,,,0,32,4.59,2.09
piranha,piranha,1,2,2,3,3,3,4,4,5,5,5,5,6,6,6,6,7,7,7,7,7,5,2,4,5,4,4,6,3,5,2,5,5,6,,,,,0,34,4.62,1.69
pladijs,plaice,2,2,2,2,3,3,3,3,3,4,4,5,6,7,7,7,X,X,1,7,4,6,3,4,6,3,3,2,5,2,5,7,,,,,,,2,30,4.03,1.87
platvis,flatfish,1,1,1,2,2,2,2,2,2,2,3,4,4,5,6,7,7,7,7,6,5,4,7,3,3,6,4,2,7,3,7,4,,,,,,,0,32,4.00,2.13
potvis,sperm whale,1,1,2,4,4,4,5,5,5,6,6,6,7,7,7,7,4,3,3,4,7,7,5,7,2,5,3,7,3,7,,,,,,,,,0,30,4.80,1.94
rog,ray,1,1,2,3,3,3,3,3,3,4,4,5,5,6,6,7,7,7,7,6,5,5,4,7,2,3,6,4,4,6,7,5,6,5,,,,,0,34,4.56,1.80
sardine,sardine,1,1,3,4,4,4,4,4,5,5,5,5,5,6,6,7,7,7,7,7,5,7,6,2,7,4,3,1,5,7,5,1,3,,,,,,0,33,4.64,1.95
snoek,pike,2,2,2,3,3,4,4,4,5,5,6,6,7,7,7,7,7,X,7,4,7,3,2,3,6,5,5,6,7,7,3,4,1,7,6,,,,1,34,4.82,1.91
stekelbaars,stickleback,1,1,2,2,2,3,5,6,6,6,4,5,2,3,2,3,5,3,3,5,5,2,2,3,7,7,7,5,,,,,,,,,,,0,28,3.82,1.89
tong,sole,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7,6,7,7,7,7,7,5,7,,,,,,,,,0,30,6.40,1.04
walvis,whale,3,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7,4,7,7,7,6,7,6,,,,,,,,,,,0,28,6.18,1.16
zalm,salmon,2,3,3,3,5,5,6,6,6,7,7,7,7,7,7,7,7,6,7,7,6,7,6,7,5,5,5,7,7,7,,,,,,,,,0,30,5.90,1.47
zwaardvis,swordfish,2,2,2,3,4,4,4,5,5,5,6,6,6,6,6,7,7,2,4,3,3,7,4,3,5,7,3,,,,,,,,,,,,0,27,4.48,1.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
