,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
bij,bee ,3,4,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7,6,,,,,,,,,,0,29,6.14,1.13
bloedzuiger,leech,1,2,2,2,2,3,3,4,4,5,5,6,6,6,6,6,7,7,7,7,3,2,2,2,4,4,7,7,2,,,,,,,,,,0,29,4.28,2.05
daas,horsefly,1,1,1,1,2,2,3,3,4,5,5,5,6,6,6,7,7,7,7,1,5,5,X,2,5,1,7,2,1,5,5,5,3,,,,,,1,32,3.94,2.18
duizendpoot,centipede,2,3,4,5,5,5,5,5,6,7,7,7,7,7,7,3,5,7,X,5,6,7,7,6,7,2,,,,,,,,,,,,,1,25,5.48,1.64
fruitvlieg,fruit fly,1,1,2,3,3,4,4,4,5,5,5,6,6,7,7,7,7,7,5,5,5,6,5,6,6,2,4,7,2,3,5,,,,,,,,0,31,4.68,1.83
hommel,bumblebee,2,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,7,6,7,7,7,7,7,7,7,4,7,6,,,,,,,,0,31,5.71,1.19
kakkerlak,cockroach,1,2,2,2,2,3,4,4,6,6,7,7,7,7,7,7,2,5,6,5,5,7,7,7,6,4,3,3,5,5,3,2,2,2,,,,,0,34,4.50,2.05
kever,beetle,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,X,7,7,6,7,6,7,7,7,7,7,7,,,,,,1,32,5.84,1.37
krekel,cricket,1,2,2,2,3,4,5,5,5,6,7,7,7,7,7,X,5,7,2,4,3,3,5,7,5,X,4,1,2,,,,,,,,,,2,27,4.37,2.06
libel,dragonfly,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,X,6,3,6,7,7,7,5,6,,,,,,,1,31,6.10,1.04
lieveheersbeestje,ladybug,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,,,,,,,,,,0,29,6.62,0.68
luis,louse,2,2,2,2,3,3,4,5,6,7,7,7,4,1,6,2,4,4,5,7,3,4,7,3,5,3,3,1,5,3,2,6,3,2,,,,,0,34,3.91,1.86
meikever,cockchafer,1,2,2,4,4,4,5,6,6,6,6,7,7,7,7,5,2,7,7,3,3,4,5,5,7,5,3,7,4,4,6,5,,,,,,,0,32,4.88,1.77
mier,ant,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,4,7,7,6,7,7,7,5,7,5,6,6,7,7,7,7,4,5,,,,,0,34,6.21,1.01
mot,moth,3,3,3,3,4,5,5,5,6,6,6,6,7,7,7,5,5,3,3,7,7,6,7,7,1,7,7,7,7,7,5,1,5,,,,,,0,33,5.24,1.84
mug,mosquito,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,5,7,5,7,1,,,,0,35,6.06,1.39
oorworm,earwig,1,1,2,2,3,4,4,4,4,5,5,5,6,6,7,7,X,7,6,5,6,7,5,4,2,3,6,5,5,7,1,,,,,,,,1,30,4.50,1.91
pissebed,wood louse,2,3,4,4,4,5,5,5,6,6,7,7,7,7,7,7,7,5,7,5,4,6,7,6,4,4,7,7,2,2,,,,,,,,,0,30,5.30,1.68
rups,caterpillar,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,5,6,7,7,5,7,5,5,6,5,7,6,7,6,7,4,7,7,,,,,0,34,5.88,1.04
spin,spider,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,6,7,7,7,7,7,5,,,,,,,,0,31,6.71,0.82
sprinkhaan,grasshopper,3,3,3,5,5,5,6,6,7,7,7,7,7,7,7,4,5,7,5,4,7,7,7,7,7,5,7,7,7,3,6,7,4,,,,,,0,33,5.79,1.47
vlieg,fly,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,,0,37,6.59,0.65
vlinder,butterfly,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,7,6,6,7,7,3,7,,,,,,,,0,31,6.35,0.95
vlo,flee,2,2,2,3,3,3,4,4,4,5,5,5,7,7,X,5,3,2,1,7,7,3,7,3,7,2,4,2,2,3,,,,,,,,,1,29,3.93,1.91
wesp,wasp,3,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,2,7,2,3,7,7,,,,,,,,,0,30,5.80,1.65
worm,worm,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,6,7,7,6,6,7,7,7,7,1,,,,,,0,33,6.27,1.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
