,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
accordeon,accordion,3,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,3,7,6,7,7,7,7,5,7,,,,,,,,0,31,6.06,1.21
banjo,banjo,1,1,1,1,2,2,2,4,4,4,4,4,4,5,5,6,6,6,7,7,7,X,5,4,2,5,4,6,6,4,4,,,,,,,,1,30,4.10,1.88
basgitaar,bass guitar,1,3,3,3,4,4,4,5,6,6,6,7,7,7,7,6,3,4,7,3,4,7,6,5,3,5,3,5,6,,,,,,,,,,0,29,4.83,1.67
cello,cello,1,1,1,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,7,7,3,3,3,4,5,7,6,3,5,6,5,2,5,2,7,,,,0,35,4.40,1.97
cimbalen,cymbals,1,1,2,4,4,5,5,6,6,7,7,7,7,7,7,7,X,X,X,7,7,2,1,5,6,6,6,6,6,6,5,5,5,4,5,,,,3,32,5.16,1.90
contrabas,double bass,2,2,2,2,3,4,4,4,4,5,6,6,6,6,6,6,7,7,7,7,7,6,5,3,3,2,7,4,7,4,7,4,,,,,,,0,32,4.84,1.82
doedelzak,bagpipe,3,4,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,6,7,7,7,5,5,6,7,5,4,4,,,,,,,,0,31,5.77,1.18
drumstel,drum set,3,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,6,6,6,,,,,,,,,,,0,28,6.29,1.01
dwarsfluit,flute,3,3,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,2,6,6,5,4,7,7,7,7,5,,,,,,0,33,6.09,1.35
fagot,bassoon,1,1,1,2,3,3,3,3,4,4,4,5,5,6,6,6,7,X,X,X,X,6,1,2,2,5,3,4,2,5,4,5,1,X,5,,,,5,30,3.63,1.79
fluit,flute,1,5,5,5,5,5,6,6,6,6,6,6,7,7,7,4,5,6,7,7,7,7,7,6,7,7,7,4,7,7,3,3,,,,,,,0,32,5.75,1.48
gitaar,guitar,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,6,7,7,,,,,,0,33,6.73,0.57
harp,harp,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,5,6,7,6,7,2,7,7,6,,,,,,0,33,5.94,1.14
klarinet,clarinet,2,2,3,3,4,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,3,3,6,6,7,7,4,3,6,4,2,4,,,,,,,0,32,5.19,1.87
klavecimbel,harpsichord,1,1,1,1,2,2,2,4,4,5,5,6,6,6,6,7,7,7,7,7,5,2,5,3,6,2,2,3,3,5,,,,,,,,,0,30,4.10,2.14
mondharmonica,harmonica,2,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,4,7,7,7,7,7,7,3,,,,,,,0,32,6.09,1.44
orgel,organ,3,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,6,5,6,3,3,6,6,7,5,3,5,,,,0,35,5.31,1.45
panfluit,pan flute,2,3,3,3,4,5,5,5,6,6,6,6,6,6,7,7,5,4,5,5,5,7,3,5,7,4,5,1,7,7,5,,,,,,,,0,31,5.00,1.57
piano,piano,2,2,3,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,2,7,7,7,6,7,,,,,,,0,32,6.19,1.62
saxofoon,saxophone,3,3,3,4,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,7,7,7,6,5,7,,,,0,35,6.17,1.27
synthesizer,synthesizer,2,2,3,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,X,7,4,5,6,6,7,6,6,7,2,7,6,5,5,,,,,1,33,5.42,1.56
tamboerijn,tambourine,3,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,4,6,7,5,7,3,7,7,7,4,2,,,,,,,,,,0,29,5.34,1.47
triangel,triangle,3,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7,6,6,7,7,5,7,6,5,7,2,3,,,,,,,,,,,0,28,5.75,1.46
trombone,trombone,3,4,4,6,6,6,6,7,7,7,6,5,3,3,6,5,5,5,2,2,3,5,5,3,3,3,7,2,,,,,,,,,,,0,28,4.61,1.66
trommel,drum,3,3,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,3,7,7,3,7,7,7,2,7,1,1,,,,,,,,,,,0,28,5.71,2.09
trompet,trumpet,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,5,7,,,,,,0,33,6.52,0.80
viool,violin,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,4,6,6,6,7,5,7,4,,,,,,,,,0,30,6.23,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
