,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
adder,viper,2,2,3,4,4,5,5,5,6,6,6,7,7,7,7,4,3,5,5,5,6,7,3,7,6,3,6,7,7,7,6,7,4,2,4,,,,0,35,5.14,1.67
alligator,alligator,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,5,3,6,4,5,5,6,7,7,6,2,5,6,6,7,2,,,,,,,0,32,5.63,1.39
boa,boa,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,4,6,6,6,7,6,4,2,4,4,7,6,3,,,,,,,,,0,30,5.53,1.36
cobra,cobra,1,2,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,3,3,5,6,5,7,4,7,7,5,6,7,,,,,,0,33,5.67,1.57
dinosaurus,dinosaur,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,5,5,7,7,7,5,4,6,6,6,7,7,6,,,,,,,,,,0,29,5.86,1.16
gekko,gecko,1,3,3,4,5,5,5,6,6,7,7,X,X,X,X,X,X,X,X,7,X,X,1,5,6,1,2,6,1,6,5,2,,,,,,,10,22,4.27,2.14
hagedis,lizard,2,2,3,3,3,4,4,5,5,6,6,6,7,7,7,7,7,7,7,7,5,7,6,7,7,7,5,5,3,5,7,4,7,3,3,,,,0,35,5.31,1.73
hazelworm,blindworm,1,1,1,1,1,2,3,4,5,5,6,7,X,X,X,3,3,3,5,2,1,2,X,1,4,2,1,X,2,1,,,,,,,,,5,25,2.68,1.80
kaaiman,caiman,1,1,1,2,3,3,5,5,5,5,5,5,5,5,5,6,6,7,7,7,X,X,7,4,7,2,5,2,1,2,4,1,1,6,2,2,2,,2,35,3.91,2.11
kameleon,chameleon,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,7,7,7,6,7,6,6,4,5,7,7,7,7,7,6,7,7,6,2,,,,0,35,5.37,1.50
kikker,frog,3,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,7,7,6,,,,,,0,33,6.45,0.90
krokodil,crocodile,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,6,3,6,7,2,7,,,,,0,34,6.32,1.17
leguaan,iguana,1,1,1,2,2,3,3,3,3,5,5,5,6,6,6,7,7,7,7,5,6,7,7,7,7,7,7,7,7,4,,,,,,,,,0,30,5.03,2.16
pad,toad,3,3,4,4,4,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,6,6,7,5,5,7,7,4,4,5,2,,,,,,,0,32,5.47,1.41
python,python,3,3,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,X,X,7,1,7,7,3,3,7,6,7,7,7,,,,,,,2,30,5.53,1.66
salamander,salamander,2,2,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,3,3,6,4,7,4,5,4,1,5,,,,,,,,0,31,5.29,1.79
schildpad,tortoise,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,7,7,7,5,7,7,7,3,5,,,,,,0,33,6.52,0.87
slang,snake,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,5,7,6,7,3,6,7,7,,,,,,,,,,,,,,0,25,6.28,0.98
varaan,monitor lizard,1,1,1,2,2,5,5,5,5,6,6,6,7,7,X,X,6,X,2,5,5,1,2,2,1,2,,,,,,,,,,,,,3,23,3.70,2.20
waterschildpad,turtle,3,3,3,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,5,5,7,7,6,7,7,4,6,4,7,,,,,,,,,0,30,5.63,1.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
