,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
aambeeld,anvil,2,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,X,X,6,4,4,4,7,X,6,2,6,,,,,,,,,,3,26,4.42,1.33
beitel,chisel,1,2,2,3,3,4,4,5,5,5,5,5,6,6,6,7,7,7,7,X,3,6,6,5,4,3,5,2,4,1,5,3,,,,,,,1,31,4.42,1.77
bijl,axe,2,3,5,6,6,6,7,7,7,7,7,7,7,5,7,6,6,4,6,7,7,7,5,7,5,6,7,7,7,,,,,,,,,,0,29,6.07,1.31
boormachine,drill,2,2,3,4,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,3,3,6,2,6,7,7,,,,0,35,5.69,1.75
breekijzer,crowbar,1,2,3,4,4,4,5,6,6,6,7,7,X,6,6,5,7,6,6,7,5,1,5,3,7,4,3,4,7,1,1,1,,,,,,,1,31,4.52,2.08
engelse sleutel,adjustable spanner,1,1,2,2,2,3,3,4,4,5,5,5,5,5,5,6,6,X,3,7,5,6,1,2,6,2,2,3,4,7,7,,,,,,,,1,30,3.97,1.90
grasmachine,lawn mower,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6,7,7,7,7,,,,,,,0,32,6.19,1.06
hamer,hammer,3,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,4,5,6,7,7,7,6,7,7,6,7,7,7,6,,,,,0,34,6.35,1.10
houtklem,clamp,1,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,X,X,2,3,4,3,2,2,3,4,1,1,5,2,3,,,,,,,2,30,2.93,1.28
houweel,pickaxe,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7,X,X,X,2,7,3,5,4,5,2,5,4,1,2,,,,,3,31,3.74,2.00
koevoet,crowbar,2,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,1,7,7,4,4,,,,,,,,,,0,29,5.55,1.59
kruiwagen,wheelbarrow,2,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,X,7,5,6,6,7,7,7,7,6,4,7,4,7,5,,,,1,34,6.26,1.14
