,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
aardappel,potato,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7,7,6,7,6,7,5,7,6,,,,,,,0,30,6.40,0.97
ajuin,onions,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,3,7,,,,,0,32,6.44,1.13
asperges,asparagus,3,4,4,4,5,5,6,6,7,7,7,7,7,7,7,7,6,7,7,5,5,7,6,6,7,7,7,5,,,,,,,,,0,28,6.00,1.22
aubergine,eggplant,1,2,2,3,3,3,4,4,4,5,6,6,6,6,6,6,7,7,7,7,7,7,5,6,7,7,3,7,,,,,,,,,0,28,5.14,1.88
augurken,gherkins,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,6,6,6,6,7,7,7,7,7,,,,0,33,6.42,0.87
biet,beet,1,2,2,3,3,3,4,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,X,5,2,3,4,6,7,4,7,3,,,,,1,31,4.71,1.90
bloemkool,cauliflower,4,4,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,5,6,6,6,7,7,7,7,7,6,,,,,0,32,6.25,1.08
bonen,beans,3,3,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,5,7,7,7,7,7,7,7,7,6,,0,35,6.14,1.14
champignons,mushrooms,3,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,6,6,7,7,7,6,7,7,,,,,0,32,6.41,0.91
courgette,zucchini,3,3,3,4,5,5,6,6,7,7,7,7,7,7,3,7,5,5,6,6,5,7,6,6,3,6,6,7,5,7,4,,,,,,0,31,5.52,1.43
erwten,peas,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,,,,0,33,6.70,0.59
kervel,chervil,1,1,1,2,2,2,2,2,3,3,4,4,5,5,5,5,7,7,6,6,1,2,4,4,4,3,7,X,2,3,6,4,4,3,,,1,33,3.64,1.83
komkommer,cucumber,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,7,5,7,7,7,7,7,7,,,0,34,6.68,0.53
look,garlic,3,4,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,5,3,4,7,6,6,6,7,7,5,5,7,7,,,,,,0,31,5.84,1.29
maïs,corn,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,5,7,7,6,6,7,5,7,7,6,,,0,34,6.35,0.88
paprika,pepper,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,6,7,7,7,6,7,7,6,7,7,5,7,5,,,,,0,32,6.53,0.72
peterselie,parsley,2,2,3,3,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2,5,7,3,7,6,6,7,4,7,5,1,,,,0,33,5.42,1.85
prei,leek,2,3,3,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,3,6,6,7,7,6,7,6,7,4,,,0,34,5.85,1.46
radijs,radish,2,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,5,4,5,5,7,7,7,6,7,5,0,36,5.61,1.36
rode kool,red cabbage,3,3,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,6,5,7,6,7,7,,,,0,33,6.21,1.14
schorseneren,black salsify,1,2,2,3,5,5,5,6,6,6,6,7,7,7,7,X,X,7,3,7,X,7,5,6,6,2,5,5,7,6,,,,,,,3,27,5.22,1.85
selder,celery,2,2,3,3,3,4,4,4,5,6,6,6,6,6,7,7,7,7,7,6,4,4,7,6,5,6,4,6,3,2,6,5,,,,,0,32,4.97,1.64
sla,lettuce,4,5,5,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,4,1,7,7,7,7,7,4,7,5,,,,0,33,6.21,1.36
spinazie,spinach,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,1,7,7,7,7,7,7,7,7,1,6,0,36,5.94,1.66
spruiten,Brussels sprouts,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,5,7,6,7,6,4,7,7,7,,0,35,6.46,0.85
tomaat,tomato,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,2,5,7,7,7,4,7,7,5,6,,,,,0,32,6.28,1.17
waterkers,water cress,1,1,1,1,1,2,2,2,2,2,2,3,4,5,6,6,7,7,7,7,5,6,7,7,4,6,7,3,6,7,7,7,7,,,,0,33,4.48,2.40
witloof,endive,6,6,7,7,7,7,7,7,7,6,7,6,7,7,7,6,6,7,5,6,7,7,7,7,7,7,3,7,6,6,7,7,,,,,0,32,6.53,0.84
witte kool,white cabbage,2,2,3,3,3,4,4,4,4,4,4,4,5,6,6,7,7,7,7,7,7,1,5,4,4,6,1,6,6,3,6,3,7,7,4,7,0,36,4.72,1.85
wortel,carrot,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,5,7,7,5,7,7,,,,,,,,0,29,6.62,0.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
