,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9744"
arend,eagle,20,17,17,14,7,-1,14,18,13,17,18,20,18,18,17,20,17,19,20,11,14,20,16,16,20,20,16,20,16.92592593,3.173519351,27,,
duif,dove,15,20,20,20,16,18,16,16,16,18,19,20,20,20,14,20,16,20,19,18,14,20,20,18,20,20,16,19,18.14285714,2.0676393,28,,
eend,duck,12,14,16,6,10,13,9,14,14,13,18,12,19,10,1,20,11,18,9,14,10,20,10,11,15,14,13,12,12.78571429,4.184248619,28,,
ekster,magpie,16,17,20,19,16,14,14,18,15,17,19,20,20,20,14,20,18,20,20,17,17,20,17,18,20,20,17,18,17.89285714,2.042860843,28,,
fazant,pheasant,10,13,15,11,14,16,7,13,11,15,17,13,13,13,3,20,13,18,19,12,10,20,15,11,16,20,12,14,13.71428571,3.895459302,28,,
gier,vulture,16,17,17,14,4,14,10,14,7,14,19,20,17,18,16,20,15,18,20,11,6,20,11,14,20,20,14,18,15.14285714,4.453166046,28,,
haan,rooster,6,7,15,4,13,15,4,14,11,11,15,9,7,15,1,20,11,18,13,13,10,20,10,11,15,11,7,4,11.07142857,4.860487488,28,,
kalkoen,turkey,10,9,16,9,14,11,4,11,10,12,16,11,5,15,5,20,10,17,9,12,10,20,9,11,16,20,8,7,11.67857143,4.447667482,28,,
kanarie,canary,20,20,20,19,14,16,8,19,16,19,20,20,20,20,20,20,14,18,19,15,12,20,18,20,20,20,18,16,17.89285714,3.01034372,28,,
kip,chicken,9,10,16,7,18,16,8,11,11,11,16,4,8,15,1,20,10,18,13,16,10,20,11,11,12,11,7,4,11.57142857,4.818395087,28,,
koekoek,cuckoo,13,14,12,15,8,14,11,19,16,15,19,20,16,18,16,20,17,17,18,16,15,20,16,17,17,20,16,13,16,2.905932629,28,,
kraai,crow,17,16,20,18,16,18,13,18,17,18,19,20,20,20,20,20,17,20,19,15,16,20,18,17,20,20,15,20,18.10714286,1.969005873,28,,
mees,chickadee,14,18,15,20,15,8,13,19,18,18,20,20,17,20,4,20,19,20,19,20,17,20,18,17,20,20,15,15,17.10714286,3.832988252,28,,
meeuw,seagull,14,19,20,19,17,20,13,19,11,17,20,20,20,20,12,20,19,20,20,18,14,20,18,18,20,20,17,18,17.96428571,2.70092087,28,,
merel,blackbird,20,19,20,20,18,15,18,20,19,19,20,20,20,20,16,20,19,20,19,17,17,20,17,20,17,20,17,20,18.82142857,1.492042384,28,,
mus,sparrow,20,20,20,20,18,14,18,19,19,20,20,20,20,20,17,20,19,20,19,20,17,20,19,20,20,20,18,20,19.17857143,1.389206313,28,,
ooievaar,stork,18,15,20,10,12,16,13,20,8,14,18,20,15,17,18,20,12,19,15,10,9,20,13,14,15,19,15,16,15.39285714,3.593608377,28,,
papegaai,parrot,18,19,20,13,12,15,7,14,15,14,20,20,20,18,20,20,11,18,19,17,9,20,13,12,20,20,11,9,15.85714286,4.142948366,28,,
parkiet,parakeet,19,19,20,18,14,13,12,18,17,18,19,20,20,20,20,20,14,18,19,17,12,20,19,18,20,20,17,13,17.64285714,2.68347875,28,,
pauw,peacock,9,15,12,3,12,8,7,12,9,13,18,13,16,15,4,20,11,19,17,11,5,20,5,11,15,20,12,12,12.28571429,4.905455337,28,,
pelikaan,pelican,7,14,15,7,6,8,12,11,7,12,18,20,18,13,5,20,14,19,9,11,8,20,7,11,20,20,8,12,12.57142857,5.0730119,28,,
pinguïn,penguin,11,10,15,5,8,8,6,13,3,10,17,3,11,10,2,20,3,16,9,10,2,20,6,1,10,2,5,6,8.642857143,5.431146702,28,,
reiger,heron,18,16,16,13,15,16,12,12,15,15,20,20,20,18,14,20,14,20,19,11,11,20,12,13,20,20,14,17,16.10714286,3.201148934,28,,
roodborstje,robin,20,17,20,19,16,15,15,19,19,18,19,20,20,20,20,20,15,20,19,18,15,20,19,17,20,20,17,16,18.32142857,1.866935922,28,,
specht,woodpecker,19,16,20,19,13,11,14,11,16,16,17,20,20,18,8,20,18,20,19,16,11,20,18,17,20,20,15,8,16.42857143,3.755771573,28,,
struisvogel,ostrich,13,14,12,8,13,11,3,14,4,14,16,11,10,10,7,20,6,18,9,11,2,20,12,11,16,12,8,9,11.21428571,4.557103879,28,,
uil,owl,18,17,20,8,11,13,12,18,16,15,18,20,19,15,12,20,15,20,19,11,12,20,16,16,20,18,14,15,16,3.388433485,28,,
valk,falcon,16,17,16,9,8,6,11,18,14,17,19,20,20,20,7,20,16,20,19,12,14,20,16,17,9,20,16,17,15.5,4.401178293,28,,
zwaan,swan,12,14,16,6,9,16,9,20,8,15,18,3,12,15,6,20,10,18,18,11,9,20,9,8,11,19,13,14,12.82142857,4.77690099,28,,
zwaluw,swallow,15,17,20,19,17,18,14,19,16,18,19,20,19,20,19,20,18,20,19,11,13,20,17,17,20,20,15,20,17.85714286,2.414681725,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
