,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9604"
ansjovis,anchovy,17,19,12,16,11,12,18,17,17,8,15,9,17,3,16,4,5,16,11,18,10,16,16,17,19,16,7,6,13.14285714,4.904376622,28,,
dolfijn,dolphin,12,19,20,1,5,5,4,7,19,18,12,4,7,2,17,6,3,13,1,2,15,8,13,11,15,10,7,1,9.178571429,6.152708355,28,,
forel,trout,20,19,20,18,15,20,18,19,20,19,16,20,18,20,17,14,18,16,20,18,10,19,17,17,20,15,20,18,17.89285714,2.346617514,28,,
goudvis,goldfish,20,19,20,19,20,20,20,20,20,20,20,20,19,20,17,18,19,18,20,18,7,19,20,20,16,20,20,20,18.89285714,2.558056058,28,,
haai,shark,11,19,20,16,17,5,4,6,19,18,10,4,8,11,17,16,13,13,14,18,6,12,20,9,15,14,20,15,13.21428571,5.130570273,28,,
haring,herring,18,19,20,16,16,20,18,19,20,18,18,19,16,20,17,14,17,16,18,17,6,12,18,18,20,15,18,15,17.07142857,2.930409799,28,,
inktvis,squid,15,19,20,6,6,5,3,5,16,18,10,4,10,14,16,6,4,11,1,18,15,14,17,3,14,7,19,3,10.67857143,6.098291026,28,,
kabeljauw,cod,14,19,20,15,17,20,20,19,20,18,18,20,15,20,17,14,16,18,17,18,16,19,20,19,20,20,20,18,18.10714286,1.969005873,28,,
karper,carp,18,19,20,13,15,14,16,19,20,10,15,19,10,20,16,14,8,18,20,18,8,18,17,15,20,13,20,15,16,3.701851389,28,,
orka,orca,12,19,20,1,2,4,4,5,19,16,10,6,11,10,17,5,2,13,1,18,9,13,12,6,15,9,16,1,9.857142857,6.162697135,28,,
paling,eel,18,19,20,13,8,11,17,18,17,16,20,15,16,19,17,12,13,18,14,18,14,14,16,19,20,18,17,2,15.67857143,3.981936728,28,,
piranha,piranha,20,19,6,14,13,19,20,14,20,19,14,10,9,18,17,17,16,13,12,18,9,20,19,16,17,19,18,3,15.32142857,4.554635989,28,,
pladijs,plaice,12,19,20,15,7,18,17,16,20,16,18,20,12,20,17,-1,12,16,18,17,8,-1,16,18,20,14,17,12,15.96153846,3.594226139,26,,
platvis,flatfish,14,19,20,13,8,11,20,14,20,14,16,14,12,20,17,14,11,16,15,18,6,15,15,10,17,13,9,10,14.32142857,3.810838067,28,,
potvis,sperm whale,16,19,18,8,8,5,4,10,20,14,11,7,14,3,16,5,2,13,1,2,16,14,12,6,15,9,8,1,9.892857143,5.782087831,28,,
rog,ray,12,19,18,13,11,15,17,14,20,11,16,13,11,18,16,11,14,14,5,18,11,17,19,12,17,17,19,8,14.5,3.696845502,28,,
sardine,sardine,17,19,12,15,15,17,17,16,17,16,20,10,15,14,16,13,18,17,18,18,8,18,18,17,18,17,7,12,15.53571429,3.214344503,28,,
snoek,pike,18,19,20,16,13,20,19,13,20,10,16,19,12,20,17,15,15,15,18,18,11,19,17,10,20,14,19,13,16.28571429,3.241594748,28,,
stekelbaars,stickleback,15,19,18,5,12,15,17,12,20,18,17,20,12,20,17,12,16,15,15,5,3,19,18,17,15,9,20,12,14.75,4.711098008,28,,
tong,sole,13,19,16,10,8,11,17,13,20,15,12,20,15,20,17,6,18,18,16,18,9,15,18,14,20,13,16,17,15.14285714,3.826944296,28,,
walvis,whale,17,19,20,18,4,5,4,9,19,18,9,6,8,3,17,9,1,13,1,5,8,13,13,9,15,11,17,1,10.42857143,6.166988409,28,,
zalm,salmon,19,19,20,19,17,14,20,20,20,18,18,20,19,20,17,12,20,18,18,18,14,20,20,19,20,19,20,17,18.39285714,2.078804602,28,,
zwaardvis,swordfish,20,19,20,17,11,12,18,13,20,18,16,20,9,10,17,15,8,13,14,18,6,18,15,9,17,14,19,4,14.64285714,4.555942686,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
