,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9627"
aalbes,red currant,15,9,10,8,14,9,16,3,9,1,16,14,19,8,5,15,17,17,9,17,5,6,20,9,17,16,10,15,11.75,5.146915653,28,,
aardbei,strawberry,20,13,20,17,16,18,18,15,17,20,20,19,20,15,16,20,17,20,18,17,17,20,20,20,20,20,18,20,18.25,1.993043457,28,,
abrikoos,apricot,17,14,14,9,15,9,17,13,18,20,20,16,20,14,16,16,17,20,19,14,15,15,20,15,19,20,13,13,16,3.138765976,28,,
ananas,pineapple,19,20,16,14,16,11,17,19,15,20,20,17,20,16,17,20,17,18,19,14,11,20,20,19,19,20,13,19,17.35714286,2.765050207,28,,
appel,apple,20,16,20,18,20,17,18,18,19,20,20,19,20,19,15,20,17,20,20,19,18,20,20,20,20,20,20,20,19.03571429,1.400585667,28,,
banaan,banana,20,20,20,17,19,17,19,20,19,20,20,19,20,18,17,20,17,20,18,19,18,19,20,20,20,20,20,20,19.14285714,1.112697281,28,,
bosbes,blueberry,17,20,15,12,15,6,16,11,13,17,20,15,20,9,16,17,17,18,14,17,8,12,20,13,19,20,12,10,14.96428571,3.920337692,28,,
braambessen,blackberry,17,14,15,12,15,6,17,7,4,15,20,14,20,12,6,19,17,20,14,17,10,13,20,12,20,19,11,17,14.39285714,4.669358634,28,,
citroen,lemon,20,18,10,10,12,13,16,10,10,20,20,14,20,8,18,20,17,13,13,13,13,16,17,20,18,20,12,16,15.25,3.845391662,28,,
clementine,mandarine,20,17,15,13,15,4,16,15,14,20,18,17,20,14,15,14,17,17,17,14,10,12,20,17,20,20,15,17,15.82142857,3.507173299,28,,
dadels,dates,15,7,9,5,13,2,11,8,4,17,9,12,20,6,4,14,17,14,7,11,7,8,20,12,17,12,10,13,10.85714286,4.828267734,28,,
druif,grape,20,20,20,15,17,11,18,17,15,20,20,19,20,12,15,16,17,20,18,17,14,20,20,17,20,20,15,17,17.5,2.61760422,28,,
framboos,raspberry,20,11,16,12,16,12,16,16,14,20,20,15,20,12,17,20,17,17,15,17,8,16,20,16,19,20,13,20,16.25,3.284362501,28,,
kers,cherry,20,20,20,15,17,16,15,15,11,20,20,14,20,14,16,20,17,18,16,17,14,17,20,17,20,20,16,17,17.21428571,2.499735436,28,,
kiwi,kiwi,20,17,19,15,15,13,17,14,16,20,20,18,20,12,18,20,17,19,18,16,9,16,20,20,19,20,14,17,17.10714286,2.858894965,28,,
kokosnoot,coconut,15,16,12,9,14,6,14,15,2,8,20,12,19,3,17,7,17,18,4,12,5,12,20,18,16,14,11,10,12.35714286,5.243791996,28,,
limoen,lime,19,17,8,9,12,7,19,6,6,20,20,14,20,6,16,19,17,15,8,15,9,13,20,14,19,14,15,13,13.92857143,4.860487488,28,,
lychee,lychee,16,16,14,11,15,3,17,17,8,13,17,16,19,9,11,10,17,17,8,17,9,11,20,9,17,14,12,14,13.46428571,4.059576176,28,,
mango,mango,18,15,14,14,16,9,17,12,13,20,20,17,20,10,15,14,17,17,13,13,13,14,20,8,20,20,13,9,15.03571429,3.625855126,28,,
meloen,melon,20,18,20,14,15,16,17,14,9,20,20,15,20,10,15,16,17,20,15,16,12,17,20,19,20,20,13,15,16.53571429,3.19121645,28,,
nectarine,nectarine,20,11,18,15,15,6,16,16,12,20,20,16,20,14,15,19,17,20,18,14,12,16,20,18,19,20,15,13,16.25,3.438615139,28,,
papaya,papaya,15,20,11,11,13,2,16,12,5,19,5,16,20,10,11,-1,17,-1,8,13,10,8,20,8,20,13,12,9,12.46153846,5.037703995,26,,
passievrucht,passion fruit,19,20,14,13,16,5,18,17,7,20,20,15,19,9,13,20,17,17,10,14,11,10,20,17,20,14,13,10,14.92857143,4.362538943,28,,
peer,pear,20,20,19,13,18,14,18,14,17,20,20,19,20,16,16,20,17,20,17,19,14,20,20,20,20,20,18,20,18.17857143,2.261654121,28,,
perzik,peach,19,20,16,15,17,12,18,12,16,20,20,16,20,13,18,20,17,20,17,15,12,14,20,18,20,20,17,14,17,2.775554666,28,,
pompelmoes,grapefruit,17,17,12,12,14,13,16,11,5,20,20,14,20,14,16,20,17,19,12,14,13,14,20,16,20,20,14,20,15.71428571,3.720385711,28,,
pompoen,pumpkin,15,10,12,6,11,9,12,2,12,20,20,17,11,5,16,20,17,19,1,10,2,2,20,17,17,20,10,18,12.53571429,6.238958501,28,,
pruim,plum,20,15,16,12,15,10,15,15,13,20,20,16,20,16,17,20,17,20,12,15,16,19,20,18,20,20,10,20,16.67857143,3.220922015,28,,
sinaasappel,orange,20,20,20,17,19,19,18,18,19,20,20,18,20,18,16,20,17,20,20,16,17,17,20,20,20,20,19,20,18.85714286,1.380131119,28,,
vijg,fig,15,12,13,9,13,4,14,14,11,14,12,12,20,5,5,15,17,16,7,11,15,11,20,13,17,12,10,11,12.42857143,4.013205714,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
