,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,93)",,,,,,,,,,,,,,,,,,,,,
accordeon,accordion,1.67,7.50,97.50,,,,,,,,,,,,,,,,,,,,,,
banjo,banjo,1.15,10.26,96.77,,,,,,,,,,,,,,,,,,,,,,
basgitaar,bass guitar,0.48,10.04,97.77,,,,,,,,,,,,,,,,,,,,,,
cello,cello,1.58,10.13,98.28,,,,,,,,,,,,,,,,,,,,,,
cimbalen,cymbals,0.95,9.14,94.90,,,,,,,,,,,,,,,,,,,,,,
contrabas,double bass,1.08,9.35,98.02,,,,,,,,,,,,,,,,,,,,,,
doedelzak,bagpipe,1.48,9.13,99.49,,,,,,,,,,,,,,,,,,,,,,
drumstel,drum set,1.15,8.38,98.99,,,,,,,,,,,,,,,,,,,,,,
dwarsfluit,flute,1.40,7.96,98.76,,,,,,,,,,,,,,,,,,,,,,
fagot,bassoon,1.08,10.43,90.26,,,,,,,,,,,,,,,,,,,,,,
fluit,flute,2.36,6.22,99.25,,,,,,,,,,,,,,,,,,,,,,
gitaar,guitar,2.42,6.04,100.00,,,,,,,,,,,,,,,,,,,,,,
harp,harp,1.84,8.83,98.03,,,,,,,,,,,,,,,,,,,,,,
klarinet,clarinet,1.57,9.39,99.00,,,,,,,,,,,,,,,,,,,,,,
klavecimbel,harpsichord,1.54,11.84,93.93,,,,,,,,,,,,,,,,,,,,,,
mondharmonica,harmonica,1.58,9.13,98.27,,,,,,,,,,,,,,,,,,,,,,
orgel,organ,2.45,7.91,99.24,,,,,,,,,,,,,,,,,,,,,,
panfluit,pan flute,0.48,9.95,95.15,,,,,,,,,,,,,,,,,,,,,,
piano,piano,2.83,6.25,99.75,,,,,,,,,,,,,,,,,,,,,,
saxofoon,saxophone,1.32,9.17,99.25,,,,,,,,,,,,,,,,,,,,,,
synthesizer,synthesizer,1.34,9.88,98.51,,,,,,,,,,,,,,,,,,,,,,
tamboerijn,tambourine,1.32,8.04,96.09,,,,,,,,,,,,,,,,,,,,,,
triangel,triangle,1.18,8.22,99.49,,,,,,,,,,,,,,,,,,,,,,
trombone,trombone,1.08,11.50,96.30,,,,,,,,,,,,,,,,,,,,,,
trommel,drum,2.92,4.87,99.75,,,,,,,,,,,,,,,,,,,,,,
trompet,trumpet,2.24,6.67,98.75,,,,,,,,,,,,,,,,,,,,,,
viool,violin,2.70,7.00,99.75,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
