,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,98)",,,,,,,,,,,,,,,,,,,,,,,,
adder,viper,2.11,8.88,94.94,,,,,,,,,,,,,,,,,,,,,,,,,
alligator,alligator,0.90,8,97.61,,,,,,,,,,,,,,,,,,,,,,,,,
boa,boa,2.51,11,97.61,,,,,,,,,,,,,,,,,,,,,,,,,
cobra,cobra,1.60,10,94.90,,,,,,,,,,,,,,,,,,,,,,,,,
dinosaurus,dinosaur,1.51,6,98.12,,,,,,,,,,,,,,,,,,,,,,,,,
gekko,gecko,1.11,13,80.26,,,,,,,,,,,,,,,,,,,,,,,,,
hagedis,lizard,2.38,7,98.67,,,,,,,,,,,,,,,,,,,,,,,,,
hazelworm,blindworm,1.40,8,81.00,,,,,,,,,,,,,,,,,,,,,,,,,
kaaiman,caiman,1.20,10,92.86,,,,,,,,,,,,,,,,,,,,,,,,,
kameleon,chameleon,1.41,9,98.68,,,,,,,,,,,,,,,,,,,,,,,,,
kikker,frog,2.57,5,99.19,,,,,,,,,,,,,,,,,,,,,,,,,
krokodil,crocodile,2.37,5,99.73,,,,,,,,,,,,,,,,,,,,,,,,,
leguaan,iguana,1.67,11,96.59,,,,,,,,,,,,,,,,,,,,,,,,,
pad,toad,3.42,5,99.42,,,,,,,,,,,,,,,,,,,,,,,,,
python,python,1.23,11,93.22,,,,,,,,,,,,,,,,,,,,,,,,,
salamander,salamander,2.02,8,98.10,,,,,,,,,,,,,,,,,,,,,,,,,
schildpad,tortoise,2.39,6,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
slang,snake,3.06,4,99.45,,,,,,,,,,,,,,,,,,,,,,,,,
varaan,monitor lizard,0.00,10,86.21,,,,,,,,,,,,,,,,,,,,,,,,,
waterschildpad,turtle,0.30,7,93.13,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
